股票名称,股票代码
东信Ｂ股,'900941
凤凰B股,'900916
宝信Ｂ,'900926
绿庭B股,'900919
锦江Ｂ股,'900934
海欣Ｂ股,'900917
物贸Ｂ股,'900927
市北B股,'900902
中路Ｂ股,'900915
上柴Ｂ股,'900920
百联Ｂ股,'900923
上工Ｂ股,'900924
氯碱Ｂ股,'900908
老凤祥Ｂ,'900905
丹科B股,'900921
XD开开Ｂ,'900943
临港B股,'900928
大名城B,'900940
ST天雁B,'900946
机电Ｂ股,'900925
外高Ｂ股,'900912
华新Ｂ股,'900933
金桥Ｂ股,'900911
海立Ｂ股,'900910
云赛Ｂ股,'900901
三毛B股,'900922
国新B股,'900913
陆家Ｂ股,'900932
锦投Ｂ股,'900914
锦港Ｂ股,'900952
振华Ｂ股,'900947
华谊B股,'900909
黄山Ｂ股,'900942
耀皮Ｂ股,'900918
大众Ｂ股,'900903
*ST海创B,'900955
海科B,'900938
华电B股,'900937
神奇B股,'900904
鄂资Ｂ股,'900936
海控Ｂ股,'900945
*ST鹏起B,'900907
*ST毅达B,'900906
