股票名称,股票代码
N江航,'688586
N盟升,'688311
N起帆,'605222
N国联,'601456
铂力特,'688333
鄂尔多斯,'600295
西藏旅游,'600749
力鼎光电,'605118
康德莱,'603987
建霖家居,'603408
君正集团,'601216
澳柯玛,'600336
赛腾股份,'603283
宏发股份,'600885
万盛股份,'603010
华钰矿业,'601020
环旭电子,'601231
仙鹤股份,'603733
国光连锁,'605188
葫芦娃,'605199
卫信康,'603676
柯利达,'603828
南威软件,'603636
嘉泽新能,'601619
节能风电,'601016
新日恒力,'600165
林洋能源,'601222
起步股份,'603557
西藏药业,'600211
城地股份,'603887
再升科技,'603601
财通证券,'601108
拉芳家化,'603630
四方科技,'603339
豫光金铅,'600531
梅花生物,'600873
杭萧钢构,'600477
维力医疗,'603309
海汽集团,'603069
正川股份,'603976
赛特新材,'688398
乐凯胶片,'600135
赤峰黄金,'600988
哈高科,'600095
海尔生物,'688139
退市美都,'600175
沪硅产业-U,'688126
华润微,'688396
四方股份,'601126
精工钢构,'600496
海利生物,'603718
福能股份,'600483
旗滨集团,'601636
石大胜华,'603026
*ST刚泰,'600687
ST岩石,'600696
鹏欣资源,'600490
ST仰帆,'600421
海容冷链,'603187
新疆众和,'600888
广汇物流,'600603
龙蟠科技,'603906
江苏新能,'603693
燕麦科技,'688312
华峰测控,'688200
大湖股份,'600257
中国中免,'601888
数据港,'603881
东百集团,'600693
山东黄金,'600547
太平洋,'601099
华特气体,'688268
鲁商发展,'600223
嘉诚国际,'603535
ST椰岛,'600238
博敏电子,'603936
福蓉科技,'603327
法兰泰克,'603966
美尔雅,'600107
杉杉股份,'600884
宋都股份,'600077
ST厦华,'600870
沧州大化,'600230
西藏城投,'600773
西部黄金,'601069
中微公司,'688012
东宏股份,'603856
心脉医疗,'688016
扬农化工,'600486
新力金融,'600318
中金黄金,'600489
碳元科技,'603133
江西铜业,'600362
豪能股份,'603809
恒润股份,'603985
大智慧,'601519
南新制药,'688189
爱博医疗,'688050
安集科技,'688019
国联股份,'603613
神马股份,'600810
海正药业,'600267
士兰微,'600460
来伊份,'603777
信捷电气,'603416
松霖科技,'603992
万泰生物,'603392
哈投股份,'600864
通策医疗,'600763
中芯国际-U,'688981
春秋电子,'603890
恒通股份,'603223
能科股份,'603859
清溢光电,'688138
金山办公,'688111
三人行,'605168
福建水泥,'600802
道通科技,'688208
金晶科技,'600586
璞泰来,'603659
江山欧派,'603208
开创国际,'600097
新化股份,'603867
安恒信息,'688023
*ST湘电,'600416
台华新材,'603055
山煤国际,'600546
全筑股份,'603030
斯达半导,'603290
柳药股份,'603368
珀莱雅,'603605
中源协和,'600645
清源股份,'603628
三棵树,'603737
有友食品,'603697
柏楚电子,'688188
九州通,'600998
梅轮电梯,'603321
*ST京城,'600860
桃李面包,'603866
八亿时空,'688181
福达合金,'603045
尖峰集团,'600668
方邦股份,'688020
邦宝益智,'603398
家家悦,'603708
天奈科技,'688116
益民集团,'600824
科沃斯,'603486
新世界,'600628
财富趋势,'688318
ST金花,'600080
奇安信-U,'688561
鹏博士,'600804
ST抚钢,'600399
白银有色,'601212
东睦股份,'600114
武进不锈,'603878
XD洪都航,'600316
翠微股份,'603123
华安证券,'600909
西部矿业,'601168
*ST信通,'600289
新通联,'603022
*ST富控,'600634
海天味业,'603288
昆药集团,'600422
申联生物,'688098
克劳斯,'600579
长电科技,'600584
海天精工,'601882
园城黄金,'600766
东方电气,'600875
彤程新材,'603650
东方材料,'603110
科力远,'600478
喜临门,'603008
优刻得-W,'688158
巨化股份,'600160
*ST荣华,'600311
北汽蓝谷,'600733
岱美股份,'603730
恒生电子,'600570
春风动力,'603129
利通电子,'603629
安彩高科,'600207
紫金矿业,'601899
丸美股份,'603983
标准股份,'600302
联瑞新材,'688300
宁波联合,'600051
阿科力,'603722
小商品城,'600415
*ST中珠,'600568
海星股份,'603115
梦百合,'603313
华微电子,'600360
新华锦,'600735
华能水电,'600025
绿庭投资,'600695
东吴证券,'601555
天风证券,'601162
荣晟环保,'603165
南华期货,'603093
上海电力,'600021
金田铜业,'601609
东方电缆,'603606
三峡新材,'600293
精伦电子,'600355
铜峰电子,'600237
天智航-U,'688277
皖维高新,'600063
共进股份,'603118
光云科技,'688365
华北制药,'600812
信达地产,'600657
和顺石油,'603353
天通股份,'600330
南卫股份,'603880
海兴电力,'603556
中原证券,'601375
建设机械,'600984
顶点软件,'603383
科博达,'603786
国茂股份,'603915
南微医学,'688029
东方时尚,'603377
金牌厨柜,'603180
华胜天成,'600410
川仪股份,'603100
甘李药业,'603087
佳力图,'603912
景津环保,'603279
大参林,'603233
广汇汽车,'600297
博汇纸业,'600966
诺德股份,'600110
宁波精达,'603088
广州酒家,'603043
星宇股份,'601799
艾华集团,'603989
易德龙,'603380
得邦照明,'603303
瑞斯康达,'603803
白云机场,'600004
华创阳安,'600155
法拉电子,'600563
金宏气体,'688106
金域医学,'603882
*ST安通,'600179
南京证券,'601990
睿能科技,'603933
国药股份,'600511
*ST松江,'600225
宝信软件,'600845
东兴证券,'601198
华贸物流,'603128
新城控股,'601155
倍加洁,'603059
海量数据,'603138
畅联股份,'603648
长白山,'603099
生益科技,'600183
中科曙光,'603019
世运电路,'603920
掌阅科技,'603533
聚辰股份,'688123
振江股份,'603507
杰普特,'688025
申华控股,'600653
闻泰科技,'600745
银都股份,'603277
华鑫股份,'600621
*ST安信,'600816
伊利股份,'600887
万林物流,'603117
上海机电,'600835
晶华新材,'603683
杭钢股份,'600126
玉龙股份,'601028
浙江东方,'600120
万华化学,'600309
怡球资源,'601388
花王股份,'603007
八方股份,'603489
芯源微,'688037
蔚蓝生物,'603739
读者传媒,'603999
东珠生态,'603359
株冶集团,'600961
上海电气,'601727
西部资源,'600139
康辰药业,'603590
*ST目药,'600671
工业富联,'601138
上海贝岭,'600171
千金药业,'600479
ST亚星,'600319
凌志软件,'688588
药明康德,'603259
九鼎投资,'600053
江化微,'603078
厦门国贸,'600755
瑞贝卡,'600439
超讯通信,'603322
亚泰集团,'600881
山东药玻,'600529
乐鑫科技,'688018
中青旅,'600138
锦泓集团,'603518
中信证券,'600030
新宏泰,'603016
金证股份,'600446
尚纬股份,'603333
春秋航空,'601021
光峰科技,'688007
永艺股份,'603600
红星发展,'600367
凯众股份,'603037
太极实业,'600667
绿色动力,'601330
宁夏建材,'600449
三孚股份,'603938
凯盛科技,'600552
中泰证券,'600918
口子窖,'603589
健友股份,'603707
中国卫星,'600118
中信重工,'601608
红塔证券,'601236
鲁信创投,'600783
长城科技,'603897
和邦生物,'603077
兴业股份,'603928
中银证券,'601696
新日股份,'603787
三达膜,'688101
音飞储存,'603066
光大嘉宝,'600622
春兰股份,'600854
晨光文具,'603899
寒武纪-U,'688256
晶方科技,'603005
皇马科技,'603181
ST瑞德,'600666
旭光电子,'600353
宁波富邦,'600768
贵州三力,'603439
江苏索普,'600746
瀚川智能,'688022
好当家,'600467
武汉控股,'600168
五矿资本,'600390
宁波富达,'600724
中国出版,'601949
国检集团,'603060
苏州龙杰,'603332
兴业证券,'601377
中国银河,'601881
浙江富润,'600070
正泰电器,'601877
ST坊展,'600149
我乐家居,'603326
奥康国际,'603001
ST长投,'600119
振德医疗,'603301
中储股份,'600787
ST中孚,'600595
光明乳业,'600597
中国电研,'688128
精达股份,'600577
湖南盐业,'600929
黄山旅游,'600054
有方科技,'688159
恒力石化,'600346
羚锐制药,'600285
安徽合力,'600761
诺邦股份,'603238
国网英大,'600517
*ST九有,'600462
珠江实业,'600684
北巴传媒,'600386
有研新材,'600206
市北高新,'600604
华兴源创,'688001
金桥信息,'603918
片仔癀,'600436
三安光电,'600703
申通地铁,'600834
中天科技,'600522
纵横通信,'603602
新坐标,'603040
华体科技,'603679
威胜信息,'688100
德马科技,'688360
亿嘉和,'603666
镇海股份,'603637
ST游久,'600652
广东骏亚,'603386
国投资本,'600061
新华网,'603888
驰宏锌锗,'600497
光大证券,'601788
ST云维,'600725
方正证券,'601901
北特科技,'603009
招商银行,'600036
九华旅游,'603199
吉视传媒,'601929
中体产业,'600158
江中药业,'600750
格力地产,'600185
云南城投,'600239
博威合金,'601137
中国人寿,'601628
信雅达,'600571
浙江东日,'600113
皖仪科技,'688600
科达制造,'600499
茂业商业,'600828
腾龙股份,'603158
强生控股,'600662
阳光照明,'600261
号百控股,'600640
耀皮玻璃,'600819
铁流股份,'603926
广深铁路,'601333
瑞芯微,'603893
合诚股份,'603909
麦迪科技,'603990
云赛智联,'600602
江西长运,'600561
依顿电子,'603328
莲花健康,'600186
南京高科,'600064
上海洗霸,'603200
招商南油,'601975
长城电工,'600192
伯特利,'603596
马钢股份,'600808
复星医药,'600196
艾迪药业,'688488
首旅酒店,'600258
腾达建设,'600512
华立股份,'603038
隧道股份,'600820
广大特材,'688186
江苏银行,'600919
江苏租赁,'600901
茶花股份,'603615
*ST联合,'600358
*ST博信,'600083
天创时尚,'603608
洛凯股份,'603829
中国通号,'688009
ST金泰,'600385
ST南化,'600301
如通股份,'603036
先达股份,'603086
海航科技,'600751
郑煤机,'601717
*ST时万,'600241
快克股份,'603203
冠豪高新,'600433
华铁应急,'603300
广州港,'601228
首开股份,'600376
中贝通信,'603220
瑞松科技,'688090
弘业股份,'600128
四川成渝,'601107
国金证券,'600109
空港股份,'600463
泉峰汽车,'603982
新华医疗,'600587
时代新材,'600458
百隆东方,'601339
拓普集团,'601689
锦和商业,'603682
上海临港,'600848
广日股份,'600894
江苏有线,'600959
万里股份,'600847
三友医疗,'688085
*ST飞乐,'600651
城市传媒,'600229
公牛集团,'603195
大连圣亚,'600593
成都银行,'601838
莱绅通灵,'603900
大元泵业,'603757
紫晶存储,'688086
博瑞传播,'600880
苏垦农发,'601952
物产中大,'600704
哈空调,'600202
华新水泥,'600801
苏农银行,'603323
湘邮科技,'600476
*ST敦种,'600354
彩虹股份,'600707
中航资本,'600705
ST创兴,'600193
苏博特,'603916
三角轮胎,'601163
联美控股,'600167
国盛智科,'688558
东方明珠,'600637
亚翔集成,'603929
蓝光发展,'600466
城建发展,'600266
新华文轩,'601811
ST昌九,'600228
中化国际,'600500
申能股份,'600642
玲珑轮胎,'601966
广州发展,'600098
杭电股份,'603618
华资实业,'600191
金诚信,'603979
福光股份,'688010
牧高笛,'603908
歌华有线,'600037
南都物业,'603506
安迪苏,'600299
国新文化,'600636
惠发食品,'603536
华正新材,'603186
韩建河山,'603616
新黄浦,'600638
晶晨股份,'688099
曲江文旅,'600706
朗迪集团,'603726
凌云股份,'600480
普元信息,'688118
天安新材,'603725
浙商证券,'601878
白云电器,'603861
爱建集团,'600643
丰华股份,'600615
原尚股份,'603813
烽火通信,'600498
ST宏盛,'600817
传音控股,'688036
中通国脉,'603559
华泰证券,'601688
东方银星,'600753
山石网科,'688030
鼎信通讯,'603421
开普云,'688228
赛福天,'603028
天龙股份,'603266
松炀资源,'603863
歌力思,'603808
松井股份,'688157
洛阳玻璃,'600876
亚普股份,'603013
明阳智能,'601615
南京新百,'600682
上海天洋,'603330
中新药业,'600329
张江高科,'600895
恒立液压,'601100
中科软,'603927
天宜上佳,'688033
中广天择,'603721
天目湖,'603136
浙江鼎力,'603338
嘉必优,'688089
正帆科技,'688596
高测股份,'688556
泽达易盛,'688555
芯原股份,'688521
南亚新材,'688519
安必平,'688393
华光新材,'688379
亿华通,'688339
赛科希德,'688338
复洁环保,'688335
仕佳光子,'688313
敏芯股份,'688286
博睿数据,'688229
康希诺,'688185
先惠技术,'688155
凯赛生物,'688065
龙腾光电,'688055
晨光新材,'605399
均瑶健康,'605388
宏柏新材,'605366
沪光股份,'605333
法狮龙,'605318
华达新材,'605158
华丰股份,'605100
冠盛股份,'605088
天正电气,'605066
众望布艺,'605003
银龙股份,'603969
格林达,'603931
中持股份,'603903
吉祥航空,'603885
乾景园林,'603778
引力传媒,'603598
华菱精工,'603356
迪生力,'603335
日盈电子,'603286
大丰实业,'603081
博通集成,'603068
振华股份,'603067
中国核电,'601985
新集能源,'601918
南方传媒,'601900
大连港,'601880
紫金银行,'601860
三峰环境,'601827
皖新传媒,'601801
邮储银行,'601658
中国外运,'601598
退市锐电,'601558
秦港股份,'601326
中国北车,'601299
*ST二重,'601268
上海银行,'601229
吉鑫科技,'601218
中国化学,'601117
ST华鼎,'601113
中国一重,'601106
中南传媒,'601098
晋亿实业,'601002
广汽长丰,'600991
汇鸿集团,'600981
广西广电,'600936
长江电力,'600900
*ST信联,'600899
*ST秋林,'600891
*ST北科,'600878
智慧能源,'600869
内蒙华电,'600863
*ST中川,'600852
上药转换,'600849
中西药业,'600842
新湖创业,'600840
东方明珠,'600832
广电网络,'600831
ST鞍一工,'600813
退市昆机,'600806
*ST龙科,'600799
*ST达曼,'600788
东方锅炉,'600786
新钢股份,'600782
S*ST龙昌,'600772
S*ST金荔,'600762
长江传媒,'600757
*ST哈慈,'600752
退市大控,'600747
天津港,'600717
凤凰股份,'600716
ST生态,'600709
*ST工新,'600701
*ST数码,'600700
海尔智家,'600690
*ST上普,'600680
*ST航通,'600677
中华企业,'600675
*ST华圣,'600672
*ST斯达,'600670
*ST鞍成,'600669
*ST花雕,'600659
退市博元,'600656
ST国嘉,'600646
华联商厦,'600632
百联股份,'600631
上电股份,'600627
PT水仙,'600625
*ST鹏起,'600614
*ST毅达,'600610
上实医药,'600607
方正科技,'600601
*ST上航,'600591
淮河能源,'600575
安阳钢铁,'600569
*ST海创,'600555
太行水泥,'600553
中国软件,'600536
中铁工业,'600528
菲达环保,'600526
ST康美,'600518
晋西车轴,'600495
*ST信威,'600485
双良节能,'600481
包头铝业,'600472
华纺股份,'600448
国机通用,'600444
退市吉恩,'600432
ST柳化,'600423
ST安泰,'600408
退市海润,'600401
广东明珠,'600382
昊华科技,'600378
西南证券,'600369
承德钒钛,'600357
阳泉煤业,'600348
大东方,'600327
XD营口港,'600317
酒钢宏兴,'600307
曙光股份,'600303
S兰铝,'600296
S*ST国瓷,'600286
*ST中商,'600280
ST昌鱼,'600275
外运发展,'600270
路桥建设,'600263
天方药业,'600253
退市华业,'600240
凌钢股份,'600231
太龙药业,'600222
亚星客车,'600213
S山东铝,'600205
国中水务,'600187
S*ST云大,'600181
雅戈尔,'600177
黄河旋风,'600172
福田汽车,'600166
香江控股,'600162
华升股份,'600156
建发股份,'600153
西宁特钢,'600117
东方航空,'600115
重庆路桥,'600106
莱钢股份,'600102
S*ST精密,'600092
退市长油,'600087
退市保千,'600074
*ST联谊,'600065
四川路桥,'600039
楚天高速,'600035
山东钢铁,'600022
中原高速,'600020
XD上港集,'600018
包钢股份,'600010
武钢股份,'600005
ST东北高,'600003
齐鲁石化,'600002
邯郸钢铁,'600001
交控科技,'688015
赛诺医疗,'688108
东尼电子,'603595
中公高科,'603860
天准科技,'688003
中源家居,'603709
人民网,'603000
华熙生物,'688363
昂立教育,'600661
海通证券,'600837
普莱柯,'603566
科华控股,'603161
济川药业,'600566
东方生物,'688298
中设集团,'603018
新奥股份,'600803
中国科传,'601858
佳都科技,'600728
东材科技,'601208
航天信息,'600271
秦川物联,'688528
上机数控,'603185
国发股份,'600538
日播时尚,'603196
均胜电子,'600699
重庆啤酒,'600132
国泰集团,'603977
山东出版,'601019
科林电气,'603050
艾艾精工,'603580
ST威龙,'603779
长园集团,'600525
华夏银行,'600015
金瑞矿业,'600714
金鹰股份,'600232
京沪高铁,'601816
汇嘉时代,'603101
莫高股份,'600543
贵州茅台,'600519
国泰君安,'601211
建设银行,'601939
上汽集团,'600104
龙韵股份,'603729
辰欣药业,'603367
朗博科技,'603655
捷昌驱动,'603583
博汇科技,'688004
海螺水泥,'600585
亨通光电,'600487
孚能科技,'688567
设计总院,'603357
网达软件,'603189
中信银行,'601998
航天机电,'600151
*ST熊猫,'600599
东方通信,'600776
动力源,'600405
柯力传感,'603662
风神股份,'600469
虹软科技,'688088
东方环宇,'603706
百奥泰-U,'688177
星湖科技,'600866
两面针,'600249
神工股份,'688233
容百科技,'688005
傲农生物,'603363
紫江企业,'600210
石英股份,'603688
京运通,'601908
浪莎股份,'600137
好太太,'603848
ST沪科,'600608
西昌电力,'600505
苏州科达,'603660
*ST劝业,'600821
华脉科技,'603042
世茂股份,'600823
悦达投资,'600805
诺力股份,'603611
上海三毛,'600689
京投发展,'600683
延长化建,'600248
乐惠国际,'603076
国电南瑞,'600406
越剑智能,'603095
建龙微纳,'688357
浙商银行,'601916
平高电气,'600312
XD开开实,'600272
丽岛新材,'603937
星光农机,'603789
中国石化,'600028
航天工程,'603698
东软集团,'600718
赛轮轮胎,'601058
中国医药,'600056
兴业银行,'601166
吉比特,'603444
东方证券,'600958
中国神华,'601088
菲林格尔,'603226
贵阳银行,'601997
浦东金桥,'600639
哈森股份,'603958
中创物流,'603967
八一钢铁,'600581
光大银行,'601818
新智认知,'603869
华荣股份,'603855
贵广网络,'600996
春光科技,'603657
S佳通,'600182
创业环保,'600874
桐昆股份,'601233
生物股份,'600201
赣粤高速,'600269
栖霞建设,'600533
汇顶科技,'603160
中国人保,'601319
亿利洁能,'600277
老凤祥,'600612
通宝能源,'600780
康欣新材,'600076
浙能电力,'600023
亚通股份,'600692
新华保险,'601336
贵绳股份,'600992
长飞光纤,'601869
红豆股份,'600400
三星新材,'603578
雅运股份,'603790
方大炭素,'600516
新湖中宝,'600208
保隆科技,'603197
渤海汽车,'600960
洪城水业,'600461
威奥股份,'605001
辽宁能源,'600758
迪贝电气,'603320
中国银行,'601988
大唐电信,'600198
葛洲坝,'600068
保税科技,'600794
轻纺城,'600790
南钢股份,'600282
首创股份,'600008
大秦铁路,'601006
青岛港,'601298
复旦复华,'600624
农业银行,'601288
杭可科技,'688006
宁波海运,'600798
川投能源,'600674
京能电力,'600578
保利地产,'600048
振华重工,'600320
*ST大晟,'600892
*ST六化,'600470
海澜之家,'600398
祁连山,'600720
ST明科,'600091
ST电能,'600877
卧龙电驱,'600580
四川长虹,'600839
山西汾酒,'600809
泰禾光电,'603656
神驰机电,'603109
松发股份,'603268
合力科技,'603917
光明地产,'600708
中国中车,'601766
XD迪马股,'600565
三元股份,'600429
国投中鲁,'600962
坤彩科技,'603826
钱江生化,'600796
绿城水务,'601368
华润双鹤,'600062
致远互联,'688369
西安银行,'600928
三美股份,'603379
恒林股份,'603661
宜宾纸业,'600793
北辰实业,'601588
中国中铁,'601390
热景生物,'688068
三六零,'601360
龙江交通,'601188
宇通客车,'600066
福建高速,'600033
现代制药,'600420
天房发展,'600322
民丰特纸,'600235
重庆水务,'601158
同方股份,'600100
中国交建,'601800
浙数文化,'600633
金山股份,'600396
国芳集团,'601086
皖通高速,'600012
格尔软件,'603232
元成股份,'603388
淳中科技,'603516
旭升股份,'603305
宏达矿业,'600532
渝农商行,'601077
永冠新材,'603681
