股票名称,股票代码
金田Ｂ 5,'420016
武锅B5,'420063
昆机3,'400068
神州城A3,'400079
国晟 5,'400012
天创5,'400036
广  建 1,'400009
大控3,'400078
中弘3,'400071
鹫  峰 5,'400010
石化Ａ 1,'400032
金  马 5,'400028
东沣B退,'420085
神州城B3,'420079
上普B5,'420073
深本实B1,'420058
中浩Ｂ 1,'420011
水仙Ｂ 5,'420008
天茂退,'400086
乐视退,'400084
龙力退,'400083
华锐风电,'400082
退市保千,'400081
华泽钴镍,'400075
上普A5,'400073
烯碳3,'400070
欣泰3,'400067
博元1,'400065
国恒3,'400064
创  智 5,'400059
国  瓷 5,'400055
托  普 1,'400054
佳纸1,'400053
精  密 3,'400051
龙  涤 3,'400050
花  雕 5,'400049
龙科3,'400048
大菲5,'400046
猴王5,'400045
哈  慈 3,'400044
信  联 1,'400042
数  码 3,'400041
中  川 3,'400040
汇  绿 5,'400038
达尔曼3,'400037
比  特 5,'400035
斯　达 5,'400033
北科5,'400030
大通5,'400029
生  态 5,'400027
中侨1,'400026
南  洋 5,'400023
海  洋 3,'400022
五  环 1,'400020
九  州 1,'400019
银  化 3,'400018
港  岳 1,'400013
中浩Ａ1,'400011
水仙Ａ 5,'400008
华  凯 1,'400007
京中兴1,'400006
海国实 5,'400005
长  白 5,'400002
金  荔 1,'400056
海国油3,'400057
吉恩5,'400069
华业3,'400080
华夏 3,'400021
鞍合成5,'400031
石化Ｂ 1,'420032
华信控3,'400076
众和1,'400072
国  嘉 1,'400017
宏  业 3,'400025
大洋Ｂ 1,'420047
龙  昌 1,'400052
长  兴 1,'400043
高  能 1,'400060
华  圣 5,'400039
鹍鹏3,'400066
金田Ａ 5,'400016
长生1,'400077
海润1,'400074
