股票名称,股票代码
N甘源,'002991
北玻股份,'002613
金风科技,'002202
华林证券,'002945
奇正藏药,'002287
美盛文化,'002699
宁波东力,'002164
焦点科技,'002315
万邦德,'002082
光启技术,'002625
凯撒文化,'002425
东方锆业,'002167
天原集团,'002386
龙泉股份,'002671
领益智造,'002600
顺络电子,'002138
鸿路钢构,'002541
易明医药,'002826
东山精密,'002384
塔牌集团,'002233
名臣健康,'002919
恩捷股份,'002812
纳思达,'002180
兴业科技,'002674
安 纳 达,'002136
歌尔股份,'002241
安洁科技,'002635
海联金汇,'002537
金达威,'002626
博杰股份,'002975
北方华创,'002371
康力电梯,'002367
永新股份,'002014
*ST兆新,'002256
*ST飞马,'002210
环球印务,'002799
雪人股份,'002639
*ST融捷,'002192
百润股份,'002568
獐子岛,'002069
富煌钢构,'002743
亚太药业,'002370
漫步者,'002351
坚朗五金,'002791
华明装备,'002270
苏州固锝,'002079
鹏鼎控股,'002938
*ST天娱,'002354
东南网架,'002135
金字火腿,'002515
恒久科技,'002808
三夫户外,'002780
闽发铝业,'002578
水晶光电,'002273
荣盛石化,'002493
天润工业,'002283
深南股份,'002417
恺英网络,'002517
爱施德,'002416
宇晶股份,'002943
创新医疗,'002173
福晶科技,'002222
*ST雅博,'002323
立讯精密,'002475
天顺风能,'002531
北斗星通,'002151
富安娜,'002327
特一药业,'002728
盛视科技,'002990
海得控制,'002184
美盈森,'002303
川恒股份,'002895
大族激光,'002008
沃尔核材,'002130
萃华珠宝,'002731
广博股份,'002103
祥鑫科技,'002965
巨星科技,'002444
华阳国际,'002949
欧菲光,'002456
吉宏股份,'002803
常铝股份,'002160
湖南黄金,'002155
云南旅游,'002059
国盛金控,'002670
松芝股份,'002454
奇信股份,'002781
安妮股份,'002235
广百股份,'002187
凯文教育,'002659
省广集团,'002400
广联达,'002410
海大集团,'002311
国星光电,'002449
东易日盛,'002713
裕同科技,'002831
上海莱士,'002252
安奈儿,'002875
嘉事堂,'002462
通达股份,'002560
超华科技,'002288
中坚科技,'002779
瀛通通讯,'002861
豪迈科技,'002595
皮阿诺,'002853
科华恒盛,'002335
三七互娱,'002555
浙江美大,'002677
久远银海,'002777
旷达科技,'002516
兆驰股份,'002429
惠威科技,'002888
*ST群兴,'002575
杭锅股份,'002534
丽江股份,'002033
电光科技,'002730
索菲亚,'002572
长青集团,'002616
众生药业,'002317
广电计量,'002967
真视通,'002771
长城证券,'002939
锐明技术,'002970
好利来,'002729
步 步 高,'002251
京泉华,'002885
三花智控,'002050
王子新材,'002735
巨人网络,'002558
九安医疗,'002432
国光电器,'002045
小熊电器,'002959
横店东磁,'002056
共达电声,'002655
亚厦股份,'002375
双星新材,'002585
*ST聚力,'002247
齐心集团,'002301
伟星股份,'002003
*ST升达,'002259
天津普林,'002134
中设股份,'002883
得润电子,'002055
华西证券,'002926
奥维通信,'002231
中粮资本,'002423
周大生,'002867
中新赛克,'002912
高斯贝尔,'002848
联创电子,'002036
盐津铺子,'002847
庄园牧场,'002910
兴瑞科技,'002937
伊戈尔,'002922
青农商行,'002958
中大力德,'002896
南极电商,'002127
星网锐捷,'002396
联化科技,'002250
信立泰,'002294
杭氧股份,'002430
丰元股份,'002805
露笑科技,'002617
朝阳科技,'002981
光华科技,'002741
瑞达期货,'002961
华兰生物,'002007
正邦科技,'002157
鞍重股份,'002667
ST毅昌,'002420
联发股份,'002394
广田集团,'002482
华天科技,'002185
游族网络,'002174
亿利达,'002686
高乐股份,'002348
良信电器,'002706
兔 宝 宝,'002043
银宝山新,'002786
合力泰,'002217
中环股份,'002129
航天电器,'002025
微光股份,'002801
德联集团,'002666
仁东控股,'002647
五方光电,'002962
好想你,'002582
兴森科技,'002436
滨江集团,'002244
通达动力,'002576
长高集团,'002452
金新农,'002548
奥士康,'002913
建艺集团,'002789
科力尔,'002892
视源股份,'002841
亚太科技,'002540
信邦制药,'002390
汉王科技,'002362
潮宏基,'002345
*ST联络,'002280
威创股份,'002308
佳隆股份,'002495
亚联发展,'002316
达实智能,'002421
万润股份,'002643
纳尔股份,'002825
天赐材料,'002709
金一文化,'002721
英派斯,'002899
奥拓电子,'002587
新北洋,'002376
国脉科技,'002093
芭田股份,'002170
张家港行,'002839
第一创业,'002797
昂利康,'002940
思美传媒,'002712
银轮股份,'002126
海鸥住工,'002084
姚记科技,'002605
科大讯飞,'002230
中京电子,'002579
东方嘉盛,'002889
蓝帆医疗,'002382
光正集团,'002524
芯瑞达,'002983
西部证券,'002673
华软科技,'002453
紫光国微,'002049
德力股份,'002571
奥瑞金,'002701
北纬科技,'002148
ST步森,'002569
赣锋锂业,'002460
天虹股份,'002419
思源电气,'002028
华森制药,'002907
梦洁股份,'002397
长缆科技,'002879
晶澳科技,'002459
伟星新材,'002372
金杯电工,'002533
江海股份,'002484
博实股份,'002698
德生科技,'002908
辉煌科技,'002296
传艺科技,'002866
日海智能,'002313
嘉应制药,'002198
众应互联,'002464
柘中股份,'002346
宝馨科技,'002514
龙蟒佰利,'002601
光迅科技,'002281
*ST晨鑫,'002447
软控股份,'002073
洪汇新材,'002802
山东章鼓,'002598
银河电子,'002519
拓维信息,'002261
雄韬股份,'002733
科瑞技术,'002957
万丰奥威,'002085
元隆雅图,'002878
富森美,'002818
国恩股份,'002768
智光电气,'002169
深南电路,'002916
未名医药,'002581
侨银环保,'002973
利民股份,'002734
华宏科技,'002645
艾格拉斯,'002619
东港股份,'002117
英维克,'002837
罗欣药业,'002793
中欣氟材,'002915
快意电梯,'002774
明牌珠宝,'002574
生 意 宝,'002095
远 望 谷,'002161
南国置业,'002305
凯莱英,'002821
ST中科创,'002290
贝因美,'002570
智能自控,'002877
恒宝股份,'002104
沪电股份,'002463
山西证券,'002500
*ST雪莱,'002076
澳洋健康,'002172
泰嘉股份,'002843
棒杰股份,'002634
怡 亚 通,'002183
华阳集团,'002906
圣阳股份,'002580
茂硕电源,'002660
雅克科技,'002409
莱宝高科,'002106
宏川智慧,'002930
楚江新材,'002171
二三四五,'002195
山东威达,'002026
神开股份,'002278
粤 水 电,'002060
恒铭达,'002947
太极股份,'002368
*ST索菱,'002766
贤丰控股,'002141
*ST海源,'002529
伟隆股份,'002871
先锋电子,'002767
鸿博股份,'002229
锋龙股份,'002931
明德生物,'002932
久其软件,'002279
郑中设计,'002811
力盛赛车,'002858
赛象科技,'002337
京威股份,'002662
美格智能,'002881
新联电子,'002546
三晖电气,'002857
万润科技,'002654
金轮股份,'002722
科安达,'002972
太安堂,'002433
川大智胜,'002253
中顺洁柔,'002511
威星智能,'002849
国轩高科,'002074
中科金财,'002657
西部建设,'002302
达华智能,'002512
三维工程,'002469
捷荣技术,'002855
金奥博,'002917
新朋股份,'002328
高科石化,'002778
金发拉比,'002762
今飞凯达,'002863
中天精装,'002989
四维图新,'002405
浙江众成,'002522
新农股份,'002942
国信证券,'002736
捷顺科技,'002609
奥 特 迅,'002227
罗平锌电,'002114
海洋王,'002724
博云新材,'002297
榕基软件,'002474
鸿合科技,'002955
科达利,'002850
凌霄泵业,'002884
卓翼科技,'002369
金安国纪,'002636
奥普光电,'002338
崇达技术,'002815
中光学,'002189
证通电子,'002197
金莱特,'002723
东华软件,'002065
双塔食品,'002481
天顺股份,'002800
