股票名称,股票代码
远大特材,'834270
百博生物,'830774
诺君安,'832267
新数网络,'834990
联程旅游,'832311
环宇科技,'833675
豫王建能,'838570
思亮信息,'832973
致善生物,'831425
晋龙股份,'872757
金禾软件,'839137
掌上明珠,'834712
微电互动,'872583
新大诚,'839835
广佳建设,'831465
明尚德,'834114
和氏技术,'832281
耀通科技,'830768
盛安传动,'831860
智立医学,'430145
奥吉特,'836758
库马克,'831251
净源科技,'836674
安广物流,'839237
科隆智谷,'872313
阖天下,'871942
吉林碳谷,'836077
凯凯农科,'872748
颂大教育,'430244
阿波罗,'832568
丰海科技,'830862
智通人才,'830969
红岭医疗,'838704
全网数商,'430182
紫贝龙,'430644
同惠电子,'833509
瑞星时光,'838798
经纬智能,'870820
金友智能,'830994
绿创设备,'430004
和创科技,'834218
中润新能,'831890
大泽电极,'832850
轩辕网络,'830891
杭摩集团,'835401
美创医疗,'833234
蓝耘科技,'871169
道尔智控,'832966
凯大催化,'830974
普适导航,'831330
安达科技,'830809
新松医疗,'830803
力龙信息,'430577
ST点点客,'430177
太一云,'430070
航天数维,'839204
兴宏泰,'831131
康远股份,'873033
大盛微电,'830955
聚芯芯片,'833898
东岳机械,'838849
美佳新材,'831053
金麒麟,'836213
裕隆气体,'870637
慧云股份,'834342
金田Ｂ 5,'420016
殷图网联,'835508
武锅B5,'420063
埃文低碳,'871556
昆机3,'400068
康能生物,'831754
连城数控,'835368
同力股份,'834599
重钢机械,'430274
中建信息,'834082
恒宝通,'832449
宏远电器,'833186
神州城A3,'400079
浙伏医疗,'837891
电科电源,'831373
国晟 5,'400012
天创5,'400036
广  建 1,'400009
羲和网络,'834470
基康仪器,'830879
宏源药业,'831265
大控3,'400078
中弘3,'400071
微传播,'430193
海红技术,'430553
百傲科技,'430353
翔宇药业,'832276
仁新科技,'833310
浦漕科技,'870382
鑫昌龙,'834803
中讯四方,'430075
嘉合智能,'839281
壹加壹,'831609
曙光节能,'872808
云端网络,'834122
华龙期货,'834303
博采网络,'833205
九州量子,'837638
鑫贞德,'837857
海阳股份,'830921
汉维科技,'836957
瑞生祥,'873362
金海股份,'832390
高新现代,'871084
力王高科,'835692
小白龙,'831015
皓华网络,'836689
华恒股份,'833444
他趣股份,'837472
五龙制动,'430540
先锋科技,'831878
施可瑞,'832060
晶珠藏药,'838410
欧普泰,'836414
世纪网通,'831604
银橙科技,'830999
东进农牧,'831253
芭薇股份,'837023
思银股份,'430152
科瑞达,'832189
尚航科技,'836366
博安智能,'831311
威星电子,'839655
富耐克,'831378
中科仪,'830852
九 恒 星,'430051
鹫  峰 5,'400010
用友汽车,'839951
广新信息,'831813
天香苑,'831060
雪郎生物,'830821
星昊医药,'430017
瓦力科技,'832638
盛世光明,'430267
洁华控股,'832537
赛德丽,'430097
鑫博技术,'832989
南达农业,'831567
耐磨科技,'831212
芍花堂,'832265
工大软件,'831698
广东羚光,'830810
北京希电,'430328
快鱼电子,'838168
北泰实业,'831972
金鸿药业,'831186
冠新软件,'834376
精英智通,'430325
超毅网络,'430054
圆融科技,'832502
新眼光,'430140
国德医疗,'833390
开泰石化,'831928
超纯环保,'833786
胜禹股份,'831626
帝杰曼,'835681
珠海港昇,'836052
三友科技,'834475
科雷斯普,'833333
百味斋,'833410
海能仪器,'430476
青雨传媒,'832698
亚成微,'430552
石化Ａ 1,'400032
尚洋信息,'832524
普华科技,'430238
金  马 5,'400028
康乐卫士,'833575
奥凯立,'430226
先临三维,'830978
轶德医疗,'839056
天波信息,'833839
利尔达,'832149
瑞立达,'833290
特瑞斯,'834014
华菱西厨,'430582
志能祥赢,'832710
大亚股份,'832532
福特科,'833682
中一检测,'430385
企源科技,'833132
海纳川,'831171
欣源股份,'839229
中寰股份,'836260
中科恒运,'836277
ST中磁,'430609
春光药装,'838810
道一信息,'830972
可恩口腔,'830938
高德信,'832645
掌众科技,'430217
南方制药,'831207
爹地宝贝,'834683
思源股份,'870040
新安洁,'831370
精晶药业,'835033
电老虎网,'835192
达瑞生物,'832705
旭建新材,'430485
大自然,'834019
花嫁丽舍,'833503
浩腾科技,'833827
北方数据,'830942
中帜生物,'836834
雅达股份,'430556
路斯股份,'832419
天地壹号,'832898
斯派克,'430392
至诚复材,'837851
海高通信,'839211
南京试剂,'833179
英雄互娱,'430127
安泰股份,'831063
伯朗特,'430394
司南导航,'833972
用友金融,'839483
水治理,'831511
新成新材,'430493
昌恩智能,'837544
海钰生物,'836800
华信股份,'832715
永安期货,'833840
熔金股份,'830813
神戎电子,'832992
特辰科技,'831242
曼恒数字,'834534
雷腾软件,'430356
生物谷,'833266
超凡股份,'833183
巨峰股份,'830818
雷特科技,'832110
安谱实验,'832021
瑞可达,'831274
陕西瑞科,'430428
同享科技,'839167
小护士,'873498
壹木能源,'873497
崤云信息,'873496
思创科技,'873495
莱易信产,'873493
群业科技,'873492
赫岩科技,'873491
硕而博,'873490
美农生物,'873489
景灿股份,'873488
嘉源检测,'873487
树茂盛,'873486
中天青鼎,'873485
福赛尔,'873483
金田麦,'873482
相城检测,'873481
北斗科技,'873480
正一包装,'873479
景泽环境,'873478
同方德诚,'873477
网智德实,'873476
中汇线缆,'873475
得莱斯,'873473
金川股份,'873472
山脉科技,'873471
新中南,'873470
银杉股份,'873469
通发激光,'873468
奇色环保,'873467
宏桂印务,'873466
欧亚合成,'873465
北直通航,'873463
河钢数字,'873462
迈威通信,'873461
山鼎环境,'873460
鼎丰股份,'873459
