股票名称,股票代码
N江航,'688586
N盟升,'688311
N起帆,'605222
N国联,'601456
N甘源,'002991
力鼎光电,'605118
建霖家居,'603408
爱博医疗,'688050
国光连锁,'605188
科拓生物,'300858
协创数据,'300857
申昊科技,'300853
图南股份,'300855
力合微,'688589
奇安信-U,'688561
芯朋微,'688508
震有科技,'688418
三生国健,'688336
大地熊,'688077
德林海,'688069
科思股份,'300856
伟思医疗,'688580
艾迪药业,'688488
寒武纪-U,'688256
美瑞新材,'300848
山大地纬,'688579
孚能科技,'688567
交大思诺,'300851
中芯国际-U,'688981
慧辰资讯,'688500
同庆楼,'605108
君实生物-U,'688180
埃夫特-U,'688165
恒誉环保,'688309
四会富仕,'300852
新强联,'300850
云涌科技,'688060
葫芦娃,'605199
锦盛新材,'300849
国盾量子,'688027
中船汉光,'300847
中科星图,'688568
迪威尔,'688377
酷特智能,'300840
天智航-U,'688277
皖仪科技,'688600
捷安高科,'300845
胜蓝股份,'300843
秦川物联,'688528
首都在线,'300846
国盛智科,'688558
博汇股份,'300839
甘李药业,'603087
新天绿能,'600956
泽达易盛,'688555
神州细胞-U,'688520
联赢激光,'688518
复旦张江,'688505
北鼎股份,'300824
聚合顺,'605166
帝科股份,'300842
金宏气体,'688106
康华生物,'300841
博汇科技,'688004
XD天合光,'688599
中天精装,'002989
松井股份,'688157
燕麦科技,'688312
浙江力诺,'300838
三峰环境,'601827
浙矿股份,'300837
中泰证券,'600918
德马科技,'688360
宇新股份,'002986
凯迪股份,'605288
三人行,'605168
佰奥智能,'300836
长源东谷,'603950
龙磁科技,'300835
盛视科技,'002990
威奥股份,'605001
奥特维,'688516
浩洋股份,'300833
晶科科技,'601778
金博股份,'688598
吉贝尔,'688566
豪美新材,'002988
新产业,'300832
凌志软件,'688588
XD金科环,'688466
派瑞股份,'300831
京北方,'002987
金现代,'300830
赛伍技术,'603212
光云科技,'688365
万泰生物,'603392
北摩高科,'002985
贵州三力,'603439
芯瑞达,'002983
财富趋势,'688318
湘佳股份,'002982
金田铜业,'601609
金丹科技,'300829
锦和商业,'603682
锐新科技,'300828
沪硅产业-U,'688126
朝阳科技,'002981
安宁股份,'002978
成都先导,'688222
越剑智能,'603095
华盛昌,'002980
上能电气,'300827
京源环保,'688096
三友医疗,'688085
雷赛智能,'002979
和顺石油,'603353
测绘股份,'300826
开普云,'688228
阿尔特,'300825
南新制药,'688189
爱丽家居,'603221
佳华科技,'688051
建科机械,'300823
天箭科技,'002977
贝仕达克,'300822
东岳硅材,'300821
聚杰微纤,'300819
雪龙集团,'603949
瑞玛工业,'002976
建业股份,'603948
华润微,'688396
紫晶存储,'688086
中银证券,'601696
良品铺子,'603719
神工股份,'688233
百奥泰-U,'688177
石头科技,'688169
华峰测控,'688200
双飞股份,'300817
瑞松科技,'688090
道通科技,'688208
英杰电气,'300820
映翰通,'688080
耐普矿机,'300818
赛特新材,'688398
广大特材,'688186
艾可蓝,'300816
瑞芯微,'603893
公牛集团,'603195
东方生物,'688298
博杰股份,'002975
斯达半导,'603290
泽璟制药-U,'688266
有方科技,'688159
玉禾田,'300815
洁特生物,'688026
威胜信息,'688100
优刻得-W,'688158
特宝生物,'688278
京沪高铁,'601816
奥普家居,'603551
万德斯,'688178
泰林生物,'300813
和远气体,'002971
易天股份,'300812
八亿时空,'688181
兴图新科,'688081
侨银环保,'002973
神驰机电,'603109
龙软科技,'688078
铂科新材,'300811
科安达,'002972
华特气体,'688268
甬金股份,'603995
聚辰股份,'688123
中新集团,'601512
嘉必优,'688089
天迈科技,'300807
成都燃气,'603053
锐明技术,'002970
芯源微,'688037
江苏北人,'688218
当虹科技,'688039
邮储银行,'601658
卓易信息,'688258
佰仁医疗,'688198
中科海讯,'300810
硕世生物,'688399
建龙微纳,'688357
普元信息,'688118
华辰装备,'300809
祥生医疗,'688358
迈得医疗,'688310
新大正,'002968
嘉美包装,'002969
久量股份,'300808
泰和科技,'300801
浙商银行,'601916
通达电气,'603390
斯迪克,'300806
锦鸡股份,'300798
卓越新能,'688196
电声股份,'300805
清溢光电,'688138
金山办公,'688111
指南针,'300803
联瑞新材,'688300
三达膜,'688101
贝斯美,'300796
矩子科技,'300802
八方股份,'603489
博瑞医药,'688166
筑博设计,'300564
广电计量,'002967
华熙生物,'688363
长阳科技,'688299
鸿泉物联,'688288
奥福环保,'688021
力合科技,'300800
普门科技,'688389
美迪西,'688202
久日新材,'688199
中国电研,'688128
安恒信息,'688023
宝兰德,'688058
钢研纳克,'300797
致远互联,'688369
杰普特,'688025
昊海生科,'688366
赛诺医疗,'688108
麒盛科技,'603610
渝农商行,'601077
左江科技,'300799
申联生物,'688098
豪尔赛,'002963
海尔生物,'688139
祥鑫科技,'002965
米奥会展,'300795
交建股份,'603815
佳禾智能,'300793
科博达,'603786
晶丰明源,'688368
热景生物,'688068
传音控股,'688036
山石网科,'688030
壹网壹创,'300792
天奈科技,'688116
仙乐健康,'300791
宇瞳光学,'300790
五方光电,'002962
中科软,'603927
安博通,'688168
瑞达期货,'002961
南华期货,'603093
日辰股份,'603755
唐源电气,'300789
松霖科技,'603992
中国广核,'003816
小熊电器,'002959
海能实业,'300787
微芯生物,'688321
海星股份,'603115
青鸟消防,'002960
柏楚电子,'688188
晶晨股份,'688099
柯力传感,'603662
神马电力,'603530
苏州银行,'002966
国联股份,'603613
景津环保,'603279
大胜达,'603687
科瑞技术,'002957
丸美股份,'603983
国林科技,'300786
嘉元科技,'688388
铂力特,'688333
西部超导,'688122
虹软科技,'688088
航天宏图,'688066
天宜上佳,'688033
南微医学,'688029
沃尔德,'688028
瀚川智能,'688022
方邦股份,'688020
安集科技,'688019
乐鑫科技,'688018
心脉医疗,'688016
交控科技,'688015
中微公司,'688012
新光光电,'688011
福光股份,'688010
中国通号,'688009
澜起科技,'688008
光峰科技,'688007
杭可科技,'688006
容百科技,'688005
天准科技,'688003
睿创微纳,'688002
华兴源创,'688001
宏和科技,'603256
移远通信,'603236
值得买,'300785
三只松鼠,'300783
红塔证券,'601236
中信出版,'300788
中国卫通,'601698
新化股份,'603867
海油发展,'600968
松炀资源,'603863
朗进科技,'300594
元利科技,'603217
西麦食品,'002956
卓胜微,'300782
国茂股份,'603915
因赛集团,'300781
德恩精工,'300780
福蓉科技,'603327
鸿合科技,'002955
泉峰汽车,'603982
惠城环保,'300779
三角防务,'300775
帝尔激光,'300776
宝丰能源,'600989
中简科技,'300777
鸿远电子,'603267
新城市,'300778
日丰股份,'002953
有友食品,'603697
中创物流,'603967
运达股份,'300772
拉卡拉,'300773
智莱科技,'300771
新媒股份,'300770
天味食品,'603317
博通集成,'603068
德方纳米,'300769
迪普科技,'300768
三美股份,'603379
震安科技,'300767
亚世光电,'002952
永冠新材,'603681
青农商行,'002958
每日互动,'300766
新诺威,'300765
锦浪科技,'300763
金时科技,'002951
上海瀚讯,'300762
奥美医疗,'002950
西安银行,'600928
华阳国际,'002949
威派格,'603956
七彩化学,'300758
立华股份,'300761
福莱特,'601865
恒铭达,'002947
威尔药业,'603351
华致酒行,'300755
康龙化成,'300759
新乳业,'002946
明阳智能,'601615
宁水集团,'603700
青岛港,'601298
苏州龙杰,'603332
华林证券,'002945
蔚蓝生物,'603739
青岛银行,'002948
华培动力,'603121
罗博特科,'300757
紫金银行,'601860
上机数控,'603185
中山金马,'300756
利通电子,'603629
爱朋医疗,'300753
新农股份,'002942
隆利科技,'300752
海容冷链,'603187
宇晶股份,'002943
新疆交建,'002941
中国人保,'601319
中贝通信,'603220
迈为股份,'300751
宇信科技,'300674
长城证券,'002939
昂利康,'002940
天风证券,'601162
迈瑞医疗,'300760
蠡湖股份,'300694
长沙银行,'601577
兴瑞科技,'002937
顶固集创,'300749
捷昌驱动,'603583
金力永磁,'300748
郑州银行,'002936
鹏鼎控股,'002938
丰山集团,'603810
雅运股份,'603790
永新光学,'603297
天奥电子,'002935
中铝国际,'601068
汇得科技,'603192
新兴装备,'002933
康辰药业,'603590
捷佳伟创,'300724
长城军工,'601606
春光科技,'603657
长飞光纤,'601869
密尔克卫,'603713
明德生物,'002932
东方环宇,'603706
芯能科技,'603105
江苏新能,'603693
彤程新材,'603650
锐科激光,'300747
地素时尚,'603587
中信建投,'601066
南京证券,'601990
亿嘉和,'603666
绿色动力,'601330
宁德时代,'300750
工业富联,'601138
科沃斯,'603486
汉嘉设计,'300746
欣锐科技,'300745
福达合金,'603045
深信服,'300454
亚普股份,'603013
药明康德,'603259
越博动力,'300742
伯特利,'603596
天地数码,'300743
文灿股份,'603348
仙鹤股份,'603733
鼎胜新材,'603876
沃格光电,'603773
振德医疗,'603301
长城科技,'603897
锋龙股份,'002931
爱婴室,'603214
天邑股份,'300504
宏川智慧,'002930
湖南盐业,'600929
彩讯股份,'300634
倍加洁,'603059
华夏航空,'002928
江苏租赁,'600901
华宝股份,'300741
润建股份,'002929
今创集团,'603680
七一二,'603712
泰永长征,'002927
养元饮品,'603156
中源家居,'603709
御家汇,'300740
嘉友国际,'603871
南京聚隆,'300644
华西证券,'002926
淳中科技,'603516
南都物业,'603506
明阳电路,'300739
成都银行,'601838
科顺股份,'300737
华菱精工,'603356
天永智能,'603895
奥飞数据,'300738
万兴科技,'300624
美凯龙,'601828
德邦股份,'603056
西菱动力,'300733
盈趣科技,'002925
百邦科技,'300736
科华控股,'603161
鹏鹞环保,'300664
润都股份,'002923
新疆火炬,'603080
朗博科技,'603655
上海雅仕,'603329
光弘科技,'300735
伊戈尔,'002922
中石科技,'300684
联诚精密,'002921
德赛西威,'002920
赛腾股份,'603283
蒙娜丽莎,'002918
振静股份,'603477
名臣健康,'002919
华能水电,'600025
深南电路,'002916
春秋电子,'603890
设研院,'300732
科创新源,'300731
金奥博,'002917
科创信息,'300730
中欣氟材,'002915
合力科技,'603917
好太太,'603848
乐歌股份,'300729
奥士康,'002913
香飘飘,'603711
豪能股份,'603809
晨丰科技,'603685
润禾材料,'300727
山东出版,'601019
佛燃能源,'002911
恒林股份,'603661
宏达电子,'300726
中新赛克,'002912
水星家纺,'603365
中曼石油,'603619
爱柯迪,'600933
中农立华,'603970
一品红,'300723
盘龙药业,'002864
珀莱雅,'603605
怡达股份,'300721
大业股份,'603278
乐惠国际,'603076
苏博特,'603916
剑桥科技,'603083
药石科技,'300725
新余国科,'300722
安达维尔,'300719
国立科技,'300716
贵州燃气,'600903
东宏股份,'603856
振江股份,'603507
海川智能,'300720
长盛轴承,'300718
华信新材,'300717
璞泰来,'603659
丽岛新材,'603937
佳力图,'603912
英可瑞,'300713
广哈通信,'300711
泰瑞机器,'603289
永福股份,'300712
庄园牧场,'002910
合盛硅业,'603260
凯伦股份,'300715
集泰股份,'002909
阿科力,'603722
京华激光,'603607
财通证券,'601108
金鸿顺,'603922
晶华新材,'603683
风语筑,'603466
德生科技,'002908
华森制药,'002907
万隆光电,'300710
精研科技,'300709
金辰股份,'603396
洛凯股份,'603829
翔港科技,'603499
聚灿光电,'300708
金逸影视,'002905
东方材料,'603110
华阳集团,'002906
宇环数控,'002903
横店影视,'603103
威唐工业,'300707
九典制药,'300705
辰欣药业,'603367
国芳集团,'601086
铭普光磁,'002902
亚士创能,'603378
天目湖,'603136
傲农生物,'603363
阿石创,'300706
世纪天鸿,'300654
大理药业,'603963
大博医疗,'002901
哈三联,'002900
掌阅科技,'603533
台华新材,'603055
恒银科技,'603106
创源文化,'300703
天宇股份,'300702
原尚股份,'603813
梅轮电梯,'603321
森霸传感,'300701
英派斯,'002899
华通热力,'002893
畅联股份,'603648
广东骏亚,'603386
岱勒新材,'300700
赛隆药业,'002898
银都股份,'603277
金域医学,'603882
兆丰股份,'300695
众源新材,'603527
电工合金,'300697
意华股份,'002897
天安新材,'603725
建研院,'603183
祥和实业,'603500
东珠生态,'603359
光威复材,'300699
万马科技,'300698
中大力德,'002896
昭衍新药,'603127
川恒股份,'002895
皇马科技,'603181
圣达生物,'603079
正川股份,'603976
爱乐达,'300696
盛弘股份,'300693
中国出版,'601949
中环环保,'300692
中宠股份,'002891
起步股份,'603557
春风动力,'603129
永安行,'603776
科力尔,'002892
秦港股份,'601326
中广天择,'603721
联合光电,'300691
纵横通信,'603602
创业黑马,'300688
勘设股份,'603458
澄天伟业,'300689
嘉诚国际,'603535
双一科技,'300690
海特生物,'300683
深圳新星,'603978
南卫股份,'603880
智动力,'300686
赛意信息,'300687
中公高科,'603860
华扬联众,'603825
艾德生物,'300685
弘宇股份,'002890
设计总院,'603357
朗新科技,'300682
绿茵生态,'002887
大参林,'603233
电连技术,'300679
东方嘉盛,'002889
岱美股份,'603730
禾望电气,'603063
中科信息,'300678
英搏尔,'300681
隆盛科技,'300680
卫信康,'603676
英科医疗,'300677
惠威科技,'002888
嘉泽新能,'601619
健友股份,'603707
建科院,'300675
索通发展,'603612
基蛋生物,'603387
金龙羽,'002882
华大基因,'300676
东尼电子,'603595
国科微,'300672
大元泵业,'603757
佩蒂股份,'300673
凌霄泵业,'002884
旭升股份,'603305
长缆科技,'002879
睿能科技,'603933
百达精工,'603331
富满电子,'300671
君禾股份,'603617
大烨智能,'300670
志邦家居,'603801
沪宁股份,'300669
三孚股份,'603938
日盈电子,'603286
广州酒家,'603043
沃特股份,'002886
京泉华,'002885
浙商证券,'601878
易德龙,'603380
美格智能,'002881
华体科技,'603679
迪生力,'603335
中设股份,'002883
诚邦股份,'603316
杰恩设计,'300668
必创科技,'300667
我乐家居,'603326
卫光生物,'002880
吉华集团,'603980
菲林格尔,'603226
江丰电子,'300666
永悦科技,'603879
中马传动,'603767
惠发食品,'603536
飞鹿股份,'300665
科蓝软件,'300663
科锐国际,'300662
恒为科技,'603496
圣邦股份,'300661
元隆雅图,'002878
智能自控,'002877
华脉科技,'603042
江苏雷利,'300660
延江股份,'300658
上海洗霸,'603200
安奈儿,'002875
日播时尚,'603196
中孚信息,'300659
艾艾精工,'603580
三利谱,'002876
华荣股份,'603855
弘信电子,'300657
晶瑞股份,'300655
顶点软件,'603383
保隆科技,'603197
民德电子,'300656
新天药业,'002873
秦安股份,'603758
海鸥股份,'603269
展鹏科技,'603488
正海生物,'300653
雷迪克,'300652
苏垦农发,'601952
香山股份,'002870
金溢科技,'002869
金牌厨柜,'603180
金能科技,'603113
先达股份,'603086
伟隆股份,'002871
铁流股份,'603926
寿仙谷,'603896
鸣志电器,'603728
奥翔药业,'603229
金陵体育,'300651
恒润股份,'603985
杭州园林,'300649
万通智控,'300643
韦尔股份,'603501
金石资源,'603505
太龙照明,'300650
超频三,'300647
绿康生化,'002868
迪贝电气,'603320
新日股份,'603787
周大生,'002867
世运电路,'603920
友讯达,'300514
传艺科技,'002866
新经典,'603096
星云股份,'300648
钧达股份,'002865
格尔软件,'603232
康惠制药,'603139
正元智慧,'300645
透景生命,'300642
三超新材,'300554
瑞斯康达,'603803
大丰实业,'603081
新凤鸣,'603225
正丹股份,'300641
今飞凯达,'002863
德艺文创,'300640
长川科技,'300604
坤彩科技,'603826
科林电气,'603050
联泰环保,'603797
广和通,'300638
瀛通通讯,'002861
利群股份,'601366
凯普生物,'300639
扬帆新材,'300637
星帅尔,'002860
实丰文化,'002862
龙蟠科技,'603906
江化微,'603078
美诺华,'603538
洁美科技,'002859
金麒麟,'603586
开立医疗,'300633
光莆股份,'300632
惠达卫浴,'603385
同和药业,'300636
中达安,'300635
得邦照明,'603303
美思德,'603041
广州港,'601228
欧派家居,'603833
圣龙股份,'603178
普利制药,'300630
天域生态,'603717
常青股份,'603768
元成股份,'603388
新劲刚,'300629
力盛赛车,'002858
快意电梯,'002774
久吾高科,'300631
三晖电气,'002857
泰禾光电,'603656
华测导航,'300627
捷荣技术,'002855
碳元科技,'603133
华瑞股份,'300626
美芝股份,'002856
绝味食品,'603517
新泉股份,'603179
亿联网络,'300628
三雄极光,'300625
维业股份,'300621
诚意药业,'603811
博士眼镜,'300622
克来机电,'603960
中持股份,'603903
捷捷微电,'300623
康隆达,'603665
拉芳家化,'603630
大千生态,'603955
光库科技,'300620
皮阿诺,'002853
道道全,'002852
至正股份,'603991
牧高笛,'603908
尚品宅配,'300616
三星新材,'603578
海量数据,'603138
寒锐钴业,'300618
麦格米特,'002851
科达利,'002850
金银河,'300619
安靠智电,'300617
安井食品,'603345
诺邦股份,'603238
重庆建工,'600939
海峡环保,'603817
富瀚微,'300613
美力科技,'300611
博天环境,'603603
威星智能,'002849
白银有色,'601212
欣天科技,'300615
宣亚国际,'300612
汇纳科技,'300609
安正时尚,'603839
茶花股份,'603615
上海天洋,'603330
晨化股份,'300610
思特奇,'300608
高斯贝尔,'002848
江山欧派,'603208
科森科技,'603626
新坐标,'603040
拓斯达,'300607
数据港,'603881
镇海股份,'603637
金太阳,'300606
恒锋信息,'300605
盐津铺子,'002847
德创环保,'603177
康泰生物,'300601
英联股份,'002846
奇精机械,'603677
百傲化学,'603360
正裕工业,'603089
立昂技术,'300603
飞荣达,'300602
法兰泰克,'603966
华达科技,'603358
瑞特股份,'300600
会畅通讯,'300578
同兴达,'002845
集友股份,'603429
张家港行,'002839
中国银河,'601881
雄塑科技,'300599
吉大通信,'300597
艾迪精密,'603638
凯众股份,'603037
诚迈科技,'300598
华凯创意,'300592
泰嘉股份,'002843
杰克股份,'603337
利安隆,'300596
翔鹭钨业,'002842
视源股份,'002841
中国科传,'601858
天马科技,'603668
荣晟环保,'603165
欧普康视,'300595
华立股份,'603038
至纯科技,'603690
泛微网络,'603039
新雷能,'300593
江龙船艇,'300589
海利尔,'603639
清源股份,'603628
海辰药业,'300584
和胜股份,'002824
荣泰健康,'603579
移为通信,'300590
贝斯特,'300580
皖天然气,'603689
天龙股份,'603266
万里马,'300591
华统股份,'002840
太平鸟,'603877
景旺电子,'603228
赛托生物,'300583
道恩股份,'002838
常熟汽饰,'603035
德新交运,'603032
熙菱信息,'300588
天铁股份,'300587
吉比特,'603444
美联新材,'300586
华正新材,'603186
中原证券,'601375
亚翔集成,'603929
浙江仙通,'603239
奥联电子,'300585
英维克,'002837
新宏泽,'002836
元祖股份,'603886
日月股份,'603218
英飞特,'300582
同为股份,'002835
弘亚数控,'002833
杭叉集团,'603298
贵广网络,'600996
永吉股份,'603058
数字认证,'300579
比音勒芬,'002832
汇金通,'603577
信捷电气,'603416
开润股份,'300577
百合花,'603823
晨曦航空,'300581
容大感光,'300576
中旗股份,'300575
武进不锈,'603878
森特股份,'603098
裕同科技,'002831
苏利股份,'603585
家家悦,'603708
平治信息,'300571
名雕股份,'002830
星网宇达,'002829
兴业股份,'603928
如通股份,'603036
高争民爆,'002827
易明医药,'002826
麦迪科技,'603990
兴齐眼药,'300573
贝肯能源,'002828
三维股份,'603033
华安证券,'600909
安车检测,'300572
太辰光,'300570
中通国脉,'603559
苏州科达,'603660
