股票名称,股票代码
N江航,'688586
N盟升,'688311
N起帆,'605222
N国联,'601456
N甘源,'002991
铂力特,'688333
华神科技,'000790
鄂尔多斯,'600295
西藏旅游,'600749
北玻股份,'002613
华灿光电,'300323
金风科技,'002202
农尚环境,'300536
力鼎光电,'605118
康德莱,'603987
图南股份,'300855
银禧科技,'300221
华林证券,'002945
星云股份,'300648
建霖家居,'603408
君正集团,'601216
澳柯玛,'600336
博晖创新,'300318
赛腾股份,'603283
宏发股份,'600885
万盛股份,'603010
中亚股份,'300512
奇正藏药,'002287
科思股份,'300856
华钰矿业,'601020
鼎捷软件,'300378
中环装备,'300140
美盛文化,'002699
宁波东力,'002164
南京公用,'000421
申昊科技,'300853
科拓生物,'300858
环旭电子,'601231
仙鹤股份,'603733
英特集团,'000411
焦点科技,'002315
阳普医疗,'300030
万邦德,'002082
乐歌股份,'300729
协创数据,'300857
国光连锁,'605188
葫芦娃,'605199
三超新材,'300554
卫信康,'603676
柯利达,'603828
东软载波,'300183
光启技术,'002625
南威软件,'603636
万里马,'300591
凯撒文化,'002425
嘉泽新能,'601619
国立科技,'300716
东方锆业,'002167
节能风电,'601016
中水渔业,'000798
东莞控股,'000828
新日恒力,'600165
天原集团,'002386
太阳能,'000591
景峰医药,'000908
龙泉股份,'002671
林洋能源,'601222
锦龙股份,'000712
起步股份,'603557
信维通信,'300136
领益智造,'002600
新强联,'300850
西藏药业,'600211
城地股份,'603887
再升科技,'603601
财通证券,'601108
聚飞光电,'300303
顺络电子,'002138
宣亚国际,'300612
鸿路钢构,'002541
拉芳家化,'603630
佳云科技,'300242
经纬辉开,'300120
四方科技,'603339
易明医药,'002826
豫光金铅,'600531
银之杰,'300085
泰禾集团,'000732
东山精密,'002384
云南铜业,'000878
塔牌集团,'002233
天铁股份,'300587
易联众,'300096
居然之家,'000785
双一科技,'300690
泰林生物,'300813
深桑达Ａ,'000032
梅花生物,'600873
沃森生物,'300142
杭萧钢构,'600477
飞亚达,'000026
维力医疗,'603309
四环生物,'000518
海汽集团,'603069
正川股份,'603976
名臣健康,'002919
赛特新材,'688398
乐凯胶片,'600135
戴维医疗,'300314
赤峰黄金,'600988
恩捷股份,'002812
星徽精密,'300464
哈高科,'600095
智动力,'300686
冰山冷热,'000530
盐 田 港,'000088
海尔生物,'688139
三鑫医疗,'300453
纳思达,'002180
洲明科技,'300232
兴业科技,'002674
甘肃电投,'000791
运达股份,'300772
金力泰,'300225
创意信息,'300366
安 纳 达,'002136
安靠智电,'300617
歌尔股份,'002241
安洁科技,'002635
海联金汇,'002537
退市美都,'600175
隆盛科技,'300680
七彩化学,'300758
彩讯股份,'300634
昌红科技,'300151
金达威,'002626
顺利办,'000606
津膜科技,'300334
沪硅产业-U,'688126
立思辰,'300010
朗科科技,'300042
精研科技,'300709
博杰股份,'002975
华润微,'688396
*ST金洲,'000587
穗恒运Ａ,'000531
北方华创,'002371
首都在线,'300846
四方股份,'601126
精工钢构,'600496
康力电梯,'002367
海利生物,'603718
壹网壹创,'300792
光韵达,'300227
天华超净,'300390
福能股份,'600483
荣丰控股,'000668
盛天网络,'300494
旗滨集团,'601636
永新股份,'002014
顶固集创,'300749
*ST兆新,'002256
安居宝,'300155
*ST飞马,'002210
东宝生物,'300239
欣旺达,'300207
环球印务,'002799
雪人股份,'002639
ST海马,'000572
石大胜华,'603026
*ST刚泰,'600687
ST岩石,'600696
鹏欣资源,'600490
*ST华塑,'000509
ST仰帆,'600421
*ST融捷,'002192
海容冷链,'603187
深圳机场,'000089
恒通科技,'300374
百润股份,'002568
*ST节能,'000820
岭南控股,'000524
康芝药业,'300086
梅安森,'300275
指南针,'300803
金卡智能,'300349
新疆众和,'600888
广汇物流,'600603
润和软件,'300339
赛升药业,'300485
獐子岛,'002069
龙蟠科技,'603906
江苏新能,'603693
富煌钢构,'002743
亚太药业,'002370
川能动力,'000155
燕麦科技,'688312
华峰测控,'688200
漫步者,'002351
佛山照明,'000541
佳禾智能,'300793
坚朗五金,'002791
慈星股份,'300307
中光防雷,'300414
古鳌科技,'300551
大湖股份,'600257
中国中免,'601888
华明装备,'002270
翰宇药业,'300199
苏州固锝,'002079
鹏鼎控股,'002938
新宁物流,'300013
数据港,'603881
东百集团,'600693
*ST天娱,'002354
山东黄金,'600547
贵州轮胎,'000589
东南网架,'002135
太平洋,'601099
金字火腿,'002515
新莱应材,'300260
恒久科技,'002808
华特气体,'688268
天龙集团,'300063
鄂武商Ａ,'000501
三夫户外,'002780
闽发铝业,'002578
水晶光电,'002273
鲁商发展,'600223
嘉诚国际,'603535
ST椰岛,'600238
*ST大洲,'000571
荣盛石化,'002493
瑞普生物,'300119
汉嘉设计,'300746
诚志股份,'000990
天润工业,'002283
博敏电子,'603936
光力科技,'300480
福蓉科技,'603327
法兰泰克,'603966
深南股份,'002417
科信技术,'300565
美尔雅,'600107
蓝思科技,'300433
恺英网络,'002517
爱施德,'002416
杉杉股份,'600884
宇晶股份,'002943
创新医疗,'002173
福晶科技,'002222
安诺其,'300067
美康生物,'300439
宋都股份,'600077
西藏矿业,'000762
金雷股份,'300443
*ST雅博,'002323
立讯精密,'002475
ST厦华,'600870
汤臣倍健,'300146
南  玻Ａ,'000012
ST生物,'000504
东方钽业,'000962
沧州大化,'600230
汇纳科技,'300609
天顺风能,'002531
西藏城投,'600773
北斗星通,'002151
富安娜,'002327
新城市,'300778
特一药业,'002728
筑博设计,'300564
盛视科技,'002990
西部黄金,'601069
中微公司,'688012
东宏股份,'603856
海得控制,'002184
心脉医疗,'688016
美达股份,'000782
新光药业,'300519
美盈森,'002303
川恒股份,'002895
扬农化工,'600486
大族激光,'002008
同花顺,'300033
沃尔核材,'002130
新力金融,'600318
中金黄金,'600489
万兴科技,'300624
永福股份,'300712
萃华珠宝,'002731
广博股份,'002103
祥鑫科技,'002965
碳元科技,'603133
江西铜业,'600362
豪能股份,'603809
新开普,'300248
巨星科技,'002444
恒润股份,'603985
大智慧,'601519
南新制药,'688189
浩丰科技,'300419
爱博医疗,'688050
华阳国际,'002949
安集科技,'688019
国联股份,'603613
神马股份,'600810
*ST中华A,'000017
海正药业,'600267
士兰微,'600460
来伊份,'603777
欧菲光,'002456
吴通控股,'300292
吉宏股份,'002803
常铝股份,'002160
信捷电气,'603416
阳光股份,'000608
丰原药业,'000153
长盈精密,'300115
湖南黄金,'002155
云南旅游,'002059
创源文化,'300703
安车检测,'300572
宗申动力,'001696
国盛金控,'002670
松霖科技,'603992
万泰生物,'603392
华铭智能,'300462
哈投股份,'600864
通策医疗,'600763
聚龙股份,'300202
松芝股份,'002454
宁德时代,'300750
江苏雷利,'300660
世名科技,'300522
中芯国际-U,'688981
春秋电子,'603890
奇信股份,'002781
恒通股份,'603223
长信科技,'300088
能科股份,'603859
清溢光电,'688138
金科文化,'300459
安妮股份,'002235
*ST金宇,'000803
光弘科技,'300735
广百股份,'002187
康华生物,'300841
金山办公,'688111
凯文教育,'002659
三人行,'605168
福建水泥,'600802
*ST金鸿,'000669
长虹美菱,'000521
道通科技,'688208
金晶科技,'600586
省广集团,'002400
璞泰来,'603659
江山欧派,'603208
卫宁健康,'300253
开创国际,'600097
新化股份,'603867
安恒信息,'688023
中润资源,'000506
广联达,'002410
*ST湘电,'600416
台华新材,'603055
山煤国际,'600546
*ST华映,'000536
新产业,'300832
天龙光电,'300029
全筑股份,'603030
胜宏科技,'300476
斯达半导,'603290
柳药股份,'603368
珀莱雅,'603605
银泰黄金,'000975
中源协和,'600645
清源股份,'603628
三棵树,'603737
有友食品,'603697
海大集团,'002311
恒信东方,'300081
鼎汉技术,'300011
柏楚电子,'688188
飞荣达,'300602
九州通,'600998
梅轮电梯,'603321
国星光电,'002449
*ST京城,'600860
西安旅游,'000610
东易日盛,'002713
广和通,'300638
深振业Ａ,'000006
桃李面包,'603866
海能实业,'300787
八亿时空,'688181
福达合金,'603045
山河药辅,'300452
中青宝,'300052
尖峰集团,'600668
中船汉光,'300847
方邦股份,'688020
泰胜风能,'300129
丝路视觉,'300556
华峰超纤,'300180
邦宝益智,'603398
濮阳惠成,'300481
家家悦,'603708
裕同科技,'002831
天奈科技,'688116
上海莱士,'002252
爱乐达,'300696
安奈儿,'002875
嘉事堂,'002462
通达股份,'002560
中科创达,'300496
益民集团,'600824
浩物股份,'000757
乾照光电,'300102
厦门信达,'000701
长亮科技,'300348
超华科技,'002288
中坚科技,'002779
瑞丰光电,'300241
科沃斯,'603486
新世界,'600628
瀛通通讯,'002861
国科微,'300672
财富趋势,'688318
*ST东电,'000585
豪迈科技,'002595
ST金花,'600080
奇安信-U,'688561
鹏博士,'600804
皮阿诺,'002853
ST抚钢,'600399
越秀金控,'000987
我武生物,'300357
美的集团,'000333
白银有色,'601212
东睦股份,'600114
飞凯材料,'300398
武进不锈,'603878
金盾股份,'300411
科华恒盛,'002335
华仁药业,'300110
三七互娱,'002555
XD洪都航,'600316
浙江美大,'002677
亿纬锂能,'300014
华伍股份,'300095
翠微股份,'603123
长川科技,'300604
久远银海,'002777
华安证券,'600909
青松股份,'300132
麦捷科技,'300319
旷达科技,'002516
西部矿业,'601168
*ST信通,'600289
兆驰股份,'002429
陇神戎发,'300534
新通联,'603022
惠威科技,'002888
平潭发展,'000592
*ST富控,'600634
海天味业,'603288
万年青,'000789
*ST群兴,'002575
三诺生物,'300298
新易盛,'300502
理邦仪器,'300206
昆药集团,'600422
盛达资源,'000603
中飞股份,'300489
杭锅股份,'002534
中文在线,'300364
文化长城,'300089
申联生物,'688098
克劳斯,'600579
长电科技,'600584
冠昊生物,'300238
丽江股份,'002033
海天精工,'601882
园城黄金,'600766
东方电气,'600875
电光科技,'002730
云内动力,'000903
索菲亚,'002572
彤程新材,'603650
*ST胜尔,'000890
东方材料,'603110
科力远,'600478
*ST西发,'000752
喜临门,'603008
优刻得-W,'688158
赛摩智能,'300466
巨化股份,'600160
京山轻机,'000821
*ST荣华,'600311
长青集团,'002616
铜陵有色,'000630
北汽蓝谷,'600733
岱美股份,'603730
恒生电子,'600570
春风动力,'603129
利通电子,'603629
华锦股份,'000059
东华测试,'300354
安彩高科,'600207
紫金矿业,'601899
众生药业,'002317
丸美股份,'603983
古井贡酒,'000596
标准股份,'600302
广电计量,'002967
真视通,'002771
长城证券,'002939
联瑞新材,'688300
宁波联合,'600051
阿科力,'603722
小商品城,'600415
锐明技术,'002970
好利来,'002729
步 步 高,'002251
*ST中珠,'600568
电连技术,'300679
汇金科技,'300561
海星股份,'603115
梦百合,'603313
江丰电子,'300666
新劲刚,'300629
京泉华,'002885
华微电子,'600360
新华锦,'600735
川金诺,'300505
路通视信,'300555
平治信息,'300571
三花智控,'002050
重药控股,'000950
华能水电,'600025
王子新材,'002735
巨人网络,'002558
九安医疗,'002432
深 赛 格,'000058
绿庭投资,'600695
荣科科技,'300290
国光电器,'002045
东吴证券,'601555
天风证券,'601162
瑞特股份,'300600
荣晟环保,'603165
小熊电器,'002959
瑞凌股份,'300154
南华期货,'603093
上海电力,'600021
横店东磁,'002056
金田铜业,'601609
东方电缆,'603606
共达电声,'002655
值得买,'300785
五洋停车,'300420
菲利华,'300395
三峡新材,'600293
阳光电源,'300274
精伦电子,'600355
铜峰电子,'600237
富瀚微,'300613
亚厦股份,'002375
京东方Ａ,'000725
天智航-U,'688277
盈峰环境,'000967
皖维高新,'600063
双星新材,'002585
共进股份,'603118
光云科技,'688365
赛意信息,'300687
华北制药,'600812
智飞生物,'300122
*ST聚力,'002247
冰轮环境,'000811
金浦钛业,'000545
南京聚隆,'300644
信达地产,'600657
和顺石油,'603353
齐心集团,'002301
天通股份,'600330
天孚通信,'300394
佳讯飞鸿,'300213
欣天科技,'300615
国海证券,'000750
南卫股份,'603880
宇信科技,'300674
海兴电力,'603556
中原证券,'601375
苏常柴Ａ,'000570
建设机械,'600984
雅本化学,'300261
伟星股份,'002003
*ST升达,'002259
顶点软件,'603383
天津普林,'002134
深信服,'300454
中设股份,'002883
数字认证,'300579
科博达,'603786
得润电子,'002055
华西证券,'002926
国茂股份,'603915
浙矿股份,'300837
奥维通信,'002231
每日互动,'300766
裕兴股份,'300305
南微医学,'688029
东方时尚,'603377
中粮资本,'002423
雷曼光电,'300162
金牌厨柜,'603180
华胜天成,'600410
周大生,'002867
中新赛克,'002912
川仪股份,'603100
高斯贝尔,'002848
甘李药业,'603087
佳力图,'603912
景津环保,'603279
星辉娱乐,'300043
联创电子,'002036
大参林,'603233
东方财富,'300059
盐津铺子,'002847
庄园牧场,'002910
兴瑞科技,'002937
广汇汽车,'600297
明阳电路,'300739
胜蓝股份,'300843
伊戈尔,'002922
坚瑞沃能,'300116
博汇纸业,'600966
诺德股份,'600110
宁波精达,'603088
博腾股份,'300363
奥飞数据,'300738
广州酒家,'603043
青农商行,'002958
芒果超媒,'300413
扬杰科技,'300373
杭州园林,'300649
中大力德,'002896
南极电商,'002127
星宇股份,'601799
艾华集团,'603989
易德龙,'603380
深科技,'000021
优德精密,'300549
得邦照明,'603303
瑞斯康达,'603803
中环环保,'300692
白云机场,'600004
漳泽电力,'000767
卓胜微,'300782
华创阳安,'600155
星网锐捷,'002396
法拉电子,'600563
联化科技,'002250
信立泰,'002294
金宏气体,'688106
金域医学,'603882
*ST安通,'600179
杭氧股份,'002430
同和药业,'300636
张家界,'000430
紫天科技,'300280
南京证券,'601990
丰元股份,'002805
睿能科技,'603933
露笑科技,'002617
朝阳科技,'002981
森霸传感,'300701
网宿科技,'300017
国药股份,'600511
光华科技,'002741
蓝色光标,'300058
*ST松江,'600225
理工光科,'300557
聆达股份,'300125
宝信软件,'600845
友讯达,'300514
四通新材,'300428
大烨智能,'300670
东兴证券,'601198
瑞达期货,'002961
华贸物流,'603128
新城控股,'601155
倍加洁,'603059
四方精创,'300468
海量数据,'603138
畅联股份,'603648
长白山,'603099
生益科技,'600183
深华发Ａ,'000020
华兰生物,'002007
正邦科技,'002157
中科曙光,'603019
迈瑞医疗,'300760
米奥会展,'300795
鞍重股份,'002667
ST毅昌,'002420
联发股份,'002394
世运电路,'603920
广田集团,'002482
高盟新材,'300200
华天科技,'002185
掌阅科技,'603533
游族网络,'002174
聚辰股份,'688123
振江股份,'603507
杰普特,'688025
亿利达,'002686
三雄极光,'300625
兴齐眼药,'300573
申华控股,'600653
广东甘化,'000576
闻泰科技,'600745
高乐股份,'002348
*ST宝实,'000595
开能健康,'300272
宋城演艺,'300144
银都股份,'603277
粤桂股份,'000833
华鑫股份,'600621
爱司凯,'300521
艾比森,'300389
广宇发展,'000537
*ST安信,'600816
伊利股份,'600887
超声电子,'000823
良信电器,'002706
万林物流,'603117
上海机电,'600835
电广传媒,'000917
晶华新材,'603683
杭钢股份,'600126
宝新能源,'000690
深康佳Ａ,'000016
国药一致,'000028
兔 宝 宝,'002043
玉龙股份,'601028
浙江东方,'600120
银宝山新,'002786
三五互联,'300051
万华化学,'600309
常山北明,'000158
合力泰,'002217
盛讯达,'300518
罗博特科,'300757
怡球资源,'601388
中环股份,'002129
花王股份,'603007
八方股份,'603489
万达信息,'300168
芯源微,'688037
蔚蓝生物,'603739
航天电器,'002025
中达安,'300635
读者传媒,'603999
东珠生态,'603359
高伟达,'300465
株冶集团,'600961
富满电子,'300671
陕西金叶,'000812
贝达药业,'300558
滨海能源,'000695
上海电气,'601727
乐心医疗,'300562
西部资源,'600139
康辰药业,'603590
*ST目药,'600671
工业富联,'601138
神宇股份,'300563
微光股份,'002801
德联集团,'002666
上海贝岭,'600171
千金药业,'600479
ST亚星,'600319
移为通信,'300590
凌志软件,'688588
仁东控股,'002647
药明康德,'603259
九鼎投资,'600053
联建光电,'300269
五方光电,'002962
视觉中国,'000681
紫光学大,'000526
江化微,'603078
科蓝软件,'300663
国元证券,'000728
好想你,'002582
兴森科技,'002436
厦门国贸,'600755
瑞贝卡,'600439
滨江集团,'002244
超讯通信,'603322
亚泰集团,'600881
山东药玻,'600529
乐鑫科技,'688018
通达动力,'002576
宝莱特,'300246
西安饮食,'000721
中青旅,'600138
锦泓集团,'603518
中信证券,'600030
新宏泰,'603016
荃银高科,'300087
金证股份,'600446
尚纬股份,'603333
海王生物,'000078
银江股份,'300020
高鸿股份,'000851
春秋航空,'601021
长高集团,'002452
光峰科技,'688007
金新农,'002548
奥士康,'002913
永艺股份,'603600
建艺集团,'002789
科力尔,'002892
视源股份,'002841
红星发展,'600367
凯众股份,'603037
亚太科技,'002540
太极实业,'600667
信邦制药,'002390
绿色动力,'601330
汉王科技,'002362
潮宏基,'002345
捷捷微电,'300623
宁夏建材,'600449
三孚股份,'603938
银信科技,'300231
达威股份,'300535
名家汇,'300506
*ST联络,'002280
海川智能,'300720
东方日升,'300118
凯盛科技,'600552
中泰证券,'600918
口子窖,'603589
奥联电子,'300585
健友股份,'603707
中国卫星,'600118
中信重工,'601608
威创股份,'002308
红塔证券,'601236
鲁信创投,'600783
长城科技,'603897
和邦生物,'603077
兴业股份,'603928
佳隆股份,'002495
亚联发展,'002316
硕贝德,'300322
达实智能,'002421
金运激光,'300220
万润股份,'002643
智度股份,'000676
中银证券,'601696
美丽生态,'000010
新日股份,'603787
三达膜,'688101
中国中期,'000996
音飞储存,'603066
科创新源,'300731
光大嘉宝,'600622
春兰股份,'600854
纳尔股份,'002825
晨光文具,'603899
天赐材料,'002709
中际旭创,'300308
寒武纪-U,'688256
晶方科技,'603005
光环新网,'300383
金一文化,'002721
国联水产,'300094
英派斯,'002899
腾信股份,'300392
阿石创,'300706
金龙机电,'300032
景嘉微,'300474
沪宁股份,'300669
奥拓电子,'002587
新北洋,'002376
皇马科技,'603181
ST瑞德,'600666
药石科技,'300725
旭光电子,'600353
宁波富邦,'600768
佳发教育,'300559
贵州三力,'603439
国脉科技,'002093
太辰光,'300570
芭田股份,'002170
江苏索普,'600746
南大光电,'300346
田中精机,'300461
瀚川智能,'688022
好当家,'600467
蓝海华腾,'300484
上海新阳,'300236
英唐智控,'300131
张家港行,'002839
第一创业,'002797
超频三,'300647
武汉控股,'600168
五矿资本,'600390
昂利康,'002940
思美传媒,'002712
宁波富达,'600724
同大股份,'300321
掌趣科技,'300315
银轮股份,'002126
宜安科技,'300328
中国出版,'601949
海鸥住工,'002084
姚记科技,'002605
科大讯飞,'002230
中京电子,'002579
东方嘉盛,'002889
联得装备,'300545
蓝帆医疗,'002382
精准信息,'300099
国检集团,'603060
苏州龙杰,'603332
华星创业,'300025
光正集团,'002524
兴业证券,'601377
中国银河,'601881
博思软件,'300525
浙江富润,'600070
芯瑞达,'002983
深物业A,'000011
西部证券,'002673
华软科技,'002453
正泰电器,'601877
ST坊展,'600149
我乐家居,'603326
汇金股份,'300368
中山金马,'300756
奥康国际,'603001
中山公用,'000685
