股票名称,股票代码
新天绿能,'600956
京沪高铁,'601816
中新集团,'601512
成都燃气,'603053
邮储银行,'601658
浙商银行,'601916
八方股份,'603489
麒盛科技,'603610
渝农商行,'601077
科博达,'603786
中科软,'603927
国联股份,'603613
景津环保,'603279
大胜达,'603687
丸美股份,'603983
移远通信,'603236
红塔证券,'601236
中国卫通,'601698
海油发展,'600968
国茂股份,'603915
福蓉科技,'603327
泉峰汽车,'603982
宝丰能源,'600989
鸿远电子,'603267
天味食品,'603317
博通集成,'603068
三美股份,'603379
永冠新材,'603681
西安银行,'600928
威派格,'603956
福莱特,'601865
明阳智能,'601615
青岛港,'601298
中国外运,'601598
华培动力,'603121
紫金银行,'601860
上机数控,'603185
中国人保,'601319
中贝通信,'603220
天风证券,'601162
长沙银行,'601577
捷昌驱动,'603583
中铝国际,'601068
康辰药业,'603590
长飞光纤,'601869
密尔克卫,'603713
彤程新材,'603650
地素时尚,'603587
中信建投,'601066
南京证券,'601990
亿嘉和,'603666
绿色动力,'601330
工业富联,'601138
科沃斯,'603486
药明康德,'603259
伯特利,'603596
仙鹤股份,'603733
鼎胜新材,'603876
今创集团,'603680
七一二,'603712
嘉友国际,'603871
成都银行,'601838
美凯龙,'601828
德邦股份,'603056
赛腾股份,'603283
华能水电,'600025
好太太,'603848
香飘飘,'603711
山东出版,'601019
爱柯迪,'600933
珀莱雅,'603605
贵州燃气,'600903
璞泰来,'603659
合盛硅业,'603260
财通证券,'601108
风语筑,'603466
横店影视,'603103
辰欣药业,'603367
傲农生物,'603363
掌阅科技,'603533
金域医学,'603882
昭衍新药,'603127
中国出版,'601949
秦港股份,'601326
设计总院,'603357
大参林,'603233
岱美股份,'603730
嘉泽新能,'601619
健友股份,'603707
基蛋生物,'603387
旭升股份,'603305
志邦家居,'603801
广州酒家,'603043
浙商证券,'601878
苏垦农发,'601952
金牌厨柜,'603180
金能科技,'603113
鸣志电器,'603728
韦尔股份,'603501
金石资源,'603505
世运电路,'603920
瑞斯康达,'603803
新凤鸣,'603225
上海环境,'601200
欧派家居,'603833
绝味食品,'603517
克来机电,'603960
科森科技,'603626
数据港,'603881
百傲化学,'603360
集友股份,'603429
中国银河,'601881
艾迪精密,'603638
杰克股份,'603337
中国科传,'601858
至纯科技,'603690
泛微网络,'603039
海利尔,'603639
荣泰健康,'603579
景旺电子,'603228
吉比特,'603444
中原证券,'601375
亚翔集成,'603929
日月股份,'603218
杭叉集团,'603298
贵广网络,'600996
森特股份,'603098
苏利股份,'603585
家家悦,'603708
华安证券,'600909
苏州科达,'603660
步长制药,'603858
上海银行,'601229
海兴电力,'603556
国检集团,'603060
新华网,'603888
杭州银行,'600926
汇顶科技,'603160
顾家家居,'603816
鼎信通讯,'603421
常熟银行,'601128
新天然气,'603393
安图生物,'603658
欧普照明,'603515
兆易创新,'603986
长久物流,'603569
中国电影,'600977
新华文轩,'601811
江苏银行,'600919
玲珑轮胎,'601966
三棵树,'603737
飞科电器,'603868
司太立,'603520
千禾味业,'603027
思维列控,'603508
桃李面包,'603866
新城控股,'601155
口子窖,'603589
国泰君安,'601211
中国核电,'601985
灵康药业,'603669
伟明环保,'603568
迎驾贡酒,'603198
吉祥航空,'603885
润达医疗,'603108
艾华集团,'603989
广信股份,'603599
莱克电气,'603355
老百姓,'603883
歌力思,'603808
大豪科技,'603025
浙江鼎力,'603338
东方证券,'600958
创力集团,'603012
拓普集团,'601689
继峰股份,'603997
东兴证券,'601198
共进股份,'603118
益丰药房,'603939
华友钴业,'603799
晨光文具,'603899
龙马环卫,'603686
火炬电子,'603678
永艺股份,'603600
再升科技,'603601
西部黄金,'601069
春秋航空,'601021
高能环境,'603588
柳药股份,'603368
中科曙光,'603019
东方电缆,'603606
中设集团,'603018
重庆燃气,'600917
节能风电,'601016
福斯特,'603806
禾丰牧业,'603609
今世缘,'603369
依顿电子,'603328
海天味业,'603288
陕西煤业,'601225
洛阳钼业,'603993
隆鑫通用,'603766
一拖股份,'601038
和邦生物,'603077
喜临门,'603008
华贸物流,'603128
人民网,'603000
隆基股份,'601012
广汽集团,'601238
中国交建,'601800
环旭电子,'601231
三六零,'601360
新华保险,'601336
东吴证券,'601555
恒立液压,'601100
中国电建,'601669
长城汽车,'601633
宁波建工,'601789
旗滨集团,'601636
方正证券,'601901
赛轮轮胎,'601058
三星医疗,'601567
骆驼股份,'601311
桐昆股份,'601233
金隅集团,'601992
君正集团,'601216
星宇股份,'601799
大智慧,'601519
永辉超市,'601933
大连港,'601880
九州通,'600998
中南传媒,'601098
兴业证券,'601377
宁波港,'601018
光大银行,'601818
郑煤机,'601717
农业银行,'601288
唐山港,'601000
重庆水务,'601158
华泰证券,'601688
滨化股份,'601678
正泰电器,'601877
皖新传媒,'601801
中国化学,'601117
深圳燃气,'601139
中国重工,'601989
招商证券,'600999
中国中免,'601888
中国中冶,'601618
光大证券,'601788
中国建筑,'601668
四川成渝,'601107
上海电气,'601727
中国中车,'601766
紫金矿业,'601899
金钼股份,'601958
中国铁建,'601186
中煤能源,'601898
太平洋,'601099
中国太保,'601601
中远海发,'601866
中国中铁,'601390
中国石油,'601857
中国神华,'601088
中海油服,'601808
建设银行,'601939
北京银行,'601169
南京银行,'601009
中远海控,'601919
交通银行,'601328
中国铝业,'601600
中信银行,'601998
中国平安,'601318
重庆钢铁,'601005
柳钢股份,'601003
兴业银行,'601166
中国人寿,'601628
广深铁路,'601333
大唐发电,'601991
招商轮船,'601872
平煤股份,'601666
工商银行,'601398
XD上港集,'600018
北辰实业,'601588
潞安环能,'601699
中国国航,'601111
大秦铁路,'601006
保利地产,'600048
中国银行,'601988
大同煤业,'601001
中材国际,'600970
华电国际,'600027
恒源煤电,'600971
航民股份,'600987
宝胜股份,'600973
建设机械,'600984
金发科技,'600143
现代制药,'600420
新五丰,'600975
福能股份,'600483
龙元建设,'600491
内蒙一机,'600967
马应龙,'600993
四创电子,'600990
淮北矿业,'600985
赤峰黄金,'600988
康恩贝,'600572
浦东建设,'600284
涪陵电力,'600452
通威股份,'600438
华发股份,'600325
海越能源,'600387
华夏幸福,'600340
金证股份,'600446
恒生电子,'600570
卓郎智能,'600545
长江电力,'600900
杭萧钢构,'600477
上海电力,'600021
国电南瑞,'600406
方大特钢,'600507
华夏银行,'600015
山东黄金,'600547
亨通光电,'600487
阳泉煤业,'600348
中金黄金,'600489
中原高速,'600020
浙江龙盛,'600352
南方航空,'600029
航天信息,'600271
