股票名称,股票代码
深赛格B,'200058
特  力Ｂ,'200025
深南电B,'200037
深华发Ｂ,'200020
深物业B,'200011
深康佳Ｂ,'200016
京粮B,'200505
飞亚达Ｂ,'200026
深纺织Ｂ,'200045
大东海B,'200613
*ST中华B,'200017
江  铃Ｂ,'200550
苏常柴Ｂ,'200570
古井贡Ｂ,'200596
长  安Ｂ,'200625
南  玻Ｂ,'200012
招港B,'201872
粤照明Ｂ,'200541
冰山B,'200530
富奥B,'200030
安道麦B,'200553
皇庭B,'200056
深粮B,'200019
本钢板Ｂ,'200761
张  裕Ｂ,'200869
一致Ｂ,'200028
虹美菱B,'200521
东旭B,'200413
晨  鸣Ｂ,'200488
鲁  泰Ｂ,'200726
粤电力Ｂ,'200539
苏威孚Ｂ,'200581
京东方Ｂ,'200725
方大Ｂ,'200055
粤高速Ｂ,'200429
深深房Ｂ,'200029
