股票名称,股票代码
N甘源,'002991
华神科技,'000790
北玻股份,'002613
华灿光电,'300323
金风科技,'002202
农尚环境,'300536
图南股份,'300855
银禧科技,'300221
华林证券,'002945
星云股份,'300648
博晖创新,'300318
中亚股份,'300512
奇正藏药,'002287
科思股份,'300856
鼎捷软件,'300378
中环装备,'300140
美盛文化,'002699
宁波东力,'002164
南京公用,'000421
申昊科技,'300853
科拓生物,'300858
英特集团,'000411
焦点科技,'002315
阳普医疗,'300030
万邦德,'002082
乐歌股份,'300729
协创数据,'300857
三超新材,'300554
东软载波,'300183
光启技术,'002625
万里马,'300591
凯撒文化,'002425
国立科技,'300716
东方锆业,'002167
中水渔业,'000798
东莞控股,'000828
天原集团,'002386
太阳能,'000591
景峰医药,'000908
龙泉股份,'002671
锦龙股份,'000712
信维通信,'300136
领益智造,'002600
新强联,'300850
聚飞光电,'300303
顺络电子,'002138
宣亚国际,'300612
鸿路钢构,'002541
佳云科技,'300242
经纬辉开,'300120
易明医药,'002826
银之杰,'300085
泰禾集团,'000732
东山精密,'002384
云南铜业,'000878
塔牌集团,'002233
天铁股份,'300587
易联众,'300096
居然之家,'000785
双一科技,'300690
泰林生物,'300813
深桑达Ａ,'000032
沃森生物,'300142
飞亚达,'000026
四环生物,'000518
名臣健康,'002919
戴维医疗,'300314
恩捷股份,'002812
星徽精密,'300464
智动力,'300686
冰山冷热,'000530
盐 田 港,'000088
三鑫医疗,'300453
纳思达,'002180
洲明科技,'300232
兴业科技,'002674
甘肃电投,'000791
运达股份,'300772
金力泰,'300225
创意信息,'300366
安 纳 达,'002136
安靠智电,'300617
歌尔股份,'002241
安洁科技,'002635
海联金汇,'002537
隆盛科技,'300680
七彩化学,'300758
彩讯股份,'300634
昌红科技,'300151
金达威,'002626
顺利办,'000606
津膜科技,'300334
立思辰,'300010
朗科科技,'300042
精研科技,'300709
博杰股份,'002975
*ST金洲,'000587
穗恒运Ａ,'000531
北方华创,'002371
首都在线,'300846
康力电梯,'002367
壹网壹创,'300792
光韵达,'300227
天华超净,'300390
荣丰控股,'000668
盛天网络,'300494
永新股份,'002014
顶固集创,'300749
*ST兆新,'002256
安居宝,'300155
*ST飞马,'002210
东宝生物,'300239
欣旺达,'300207
环球印务,'002799
雪人股份,'002639
ST海马,'000572
*ST华塑,'000509
*ST融捷,'002192
深圳机场,'000089
恒通科技,'300374
百润股份,'002568
*ST节能,'000820
岭南控股,'000524
康芝药业,'300086
梅安森,'300275
指南针,'300803
金卡智能,'300349
润和软件,'300339
赛升药业,'300485
獐子岛,'002069
富煌钢构,'002743
亚太药业,'002370
川能动力,'000155
漫步者,'002351
佛山照明,'000541
佳禾智能,'300793
坚朗五金,'002791
慈星股份,'300307
中光防雷,'300414
古鳌科技,'300551
华明装备,'002270
翰宇药业,'300199
苏州固锝,'002079
鹏鼎控股,'002938
新宁物流,'300013
*ST天娱,'002354
贵州轮胎,'000589
东南网架,'002135
金字火腿,'002515
新莱应材,'300260
恒久科技,'002808
天龙集团,'300063
鄂武商Ａ,'000501
三夫户外,'002780
闽发铝业,'002578
水晶光电,'002273
*ST大洲,'000571
荣盛石化,'002493
瑞普生物,'300119
汉嘉设计,'300746
诚志股份,'000990
天润工业,'002283
光力科技,'300480
深南股份,'002417
科信技术,'300565
蓝思科技,'300433
恺英网络,'002517
爱施德,'002416
宇晶股份,'002943
创新医疗,'002173
福晶科技,'002222
安诺其,'300067
美康生物,'300439
西藏矿业,'000762
金雷股份,'300443
*ST雅博,'002323
立讯精密,'002475
汤臣倍健,'300146
南  玻Ａ,'000012
ST生物,'000504
东方钽业,'000962
汇纳科技,'300609
天顺风能,'002531
北斗星通,'002151
富安娜,'002327
新城市,'300778
特一药业,'002728
筑博设计,'300564
盛视科技,'002990
海得控制,'002184
美达股份,'000782
新光药业,'300519
美盈森,'002303
川恒股份,'002895
大族激光,'002008
同花顺,'300033
沃尔核材,'002130
万兴科技,'300624
永福股份,'300712
萃华珠宝,'002731
广博股份,'002103
祥鑫科技,'002965
新开普,'300248
巨星科技,'002444
浩丰科技,'300419
华阳国际,'002949
*ST中华A,'000017
欧菲光,'002456
吴通控股,'300292
吉宏股份,'002803
常铝股份,'002160
阳光股份,'000608
丰原药业,'000153
长盈精密,'300115
湖南黄金,'002155
云南旅游,'002059
创源文化,'300703
安车检测,'300572
宗申动力,'001696
国盛金控,'002670
华铭智能,'300462
聚龙股份,'300202
松芝股份,'002454
宁德时代,'300750
江苏雷利,'300660
世名科技,'300522
奇信股份,'002781
长信科技,'300088
金科文化,'300459
安妮股份,'002235
*ST金宇,'000803
光弘科技,'300735
广百股份,'002187
康华生物,'300841
凯文教育,'002659
*ST金鸿,'000669
长虹美菱,'000521
省广集团,'002400
卫宁健康,'300253
中润资源,'000506
广联达,'002410
*ST华映,'000536
新产业,'300832
天龙光电,'300029
胜宏科技,'300476
银泰黄金,'000975
海大集团,'002311
恒信东方,'300081
鼎汉技术,'300011
飞荣达,'300602
国星光电,'002449
西安旅游,'000610
东易日盛,'002713
广和通,'300638
深振业Ａ,'000006
海能实业,'300787
山河药辅,'300452
中青宝,'300052
中船汉光,'300847
泰胜风能,'300129
丝路视觉,'300556
华峰超纤,'300180
濮阳惠成,'300481
裕同科技,'002831
上海莱士,'002252
爱乐达,'300696
安奈儿,'002875
嘉事堂,'002462
通达股份,'002560
中科创达,'300496
浩物股份,'000757
乾照光电,'300102
厦门信达,'000701
长亮科技,'300348
超华科技,'002288
中坚科技,'002779
瑞丰光电,'300241
瀛通通讯,'002861
国科微,'300672
*ST东电,'000585
豪迈科技,'002595
皮阿诺,'002853
越秀金控,'000987
我武生物,'300357
美的集团,'000333
飞凯材料,'300398
金盾股份,'300411
科华恒盛,'002335
华仁药业,'300110
三七互娱,'002555
浙江美大,'002677
亿纬锂能,'300014
华伍股份,'300095
长川科技,'300604
久远银海,'002777
青松股份,'300132
麦捷科技,'300319
旷达科技,'002516
兆驰股份,'002429
陇神戎发,'300534
惠威科技,'002888
平潭发展,'000592
万年青,'000789
*ST群兴,'002575
三诺生物,'300298
新易盛,'300502
理邦仪器,'300206
盛达资源,'000603
中飞股份,'300489
杭锅股份,'002534
中文在线,'300364
文化长城,'300089
冠昊生物,'300238
丽江股份,'002033
电光科技,'002730
云内动力,'000903
索菲亚,'002572
*ST胜尔,'000890
*ST西发,'000752
赛摩智能,'300466
京山轻机,'000821
长青集团,'002616
铜陵有色,'000630
华锦股份,'000059
东华测试,'300354
众生药业,'002317
古井贡酒,'000596
广电计量,'002967
真视通,'002771
长城证券,'002939
锐明技术,'002970
好利来,'002729
步 步 高,'002251
电连技术,'300679
汇金科技,'300561
江丰电子,'300666
新劲刚,'300629
京泉华,'002885
川金诺,'300505
路通视信,'300555
平治信息,'300571
三花智控,'002050
重药控股,'000950
王子新材,'002735
巨人网络,'002558
九安医疗,'002432
深 赛 格,'000058
荣科科技,'300290
国光电器,'002045
瑞特股份,'300600
小熊电器,'002959
瑞凌股份,'300154
横店东磁,'002056
共达电声,'002655
值得买,'300785
五洋停车,'300420
菲利华,'300395
阳光电源,'300274
富瀚微,'300613
亚厦股份,'002375
京东方Ａ,'000725
盈峰环境,'000967
双星新材,'002585
赛意信息,'300687
智飞生物,'300122
*ST聚力,'002247
冰轮环境,'000811
金浦钛业,'000545
南京聚隆,'300644
齐心集团,'002301
天孚通信,'300394
佳讯飞鸿,'300213
欣天科技,'300615
国海证券,'000750
宇信科技,'300674
苏常柴Ａ,'000570
雅本化学,'300261
伟星股份,'002003
*ST升达,'002259
天津普林,'002134
深信服,'300454
中设股份,'002883
数字认证,'300579
得润电子,'002055
华西证券,'002926
浙矿股份,'300837
奥维通信,'002231
每日互动,'300766
裕兴股份,'300305
中粮资本,'002423
雷曼光电,'300162
周大生,'002867
中新赛克,'002912
高斯贝尔,'002848
星辉娱乐,'300043
联创电子,'002036
东方财富,'300059
盐津铺子,'002847
庄园牧场,'002910
兴瑞科技,'002937
明阳电路,'300739
胜蓝股份,'300843
伊戈尔,'002922
坚瑞沃能,'300116
博腾股份,'300363
奥飞数据,'300738
青农商行,'002958
芒果超媒,'300413
扬杰科技,'300373
杭州园林,'300649
中大力德,'002896
南极电商,'002127
深科技,'000021
优德精密,'300549
中环环保,'300692
漳泽电力,'000767
卓胜微,'300782
星网锐捷,'002396
联化科技,'002250
信立泰,'002294
杭氧股份,'002430
同和药业,'300636
张家界,'000430
紫天科技,'300280
丰元股份,'002805
露笑科技,'002617
朝阳科技,'002981
森霸传感,'300701
网宿科技,'300017
光华科技,'002741
蓝色光标,'300058
理工光科,'300557
聆达股份,'300125
友讯达,'300514
四通新材,'300428
大烨智能,'300670
瑞达期货,'002961
四方精创,'300468
深华发Ａ,'000020
华兰生物,'002007
正邦科技,'002157
迈瑞医疗,'300760
米奥会展,'300795
鞍重股份,'002667
ST毅昌,'002420
联发股份,'002394
广田集团,'002482
高盟新材,'300200
华天科技,'002185
游族网络,'002174
亿利达,'002686
三雄极光,'300625
兴齐眼药,'300573
广东甘化,'000576
高乐股份,'002348
*ST宝实,'000595
开能健康,'300272
宋城演艺,'300144
粤桂股份,'000833
爱司凯,'300521
艾比森,'300389
广宇发展,'000537
超声电子,'000823
良信电器,'002706
电广传媒,'000917
宝新能源,'000690
深康佳Ａ,'000016
国药一致,'000028
兔 宝 宝,'002043
银宝山新,'002786
三五互联,'300051
常山北明,'000158
合力泰,'002217
盛讯达,'300518
罗博特科,'300757
中环股份,'002129
万达信息,'300168
航天电器,'002025
中达安,'300635
高伟达,'300465
富满电子,'300671
陕西金叶,'000812
贝达药业,'300558
滨海能源,'000695
乐心医疗,'300562
神宇股份,'300563
微光股份,'002801
德联集团,'002666
移为通信,'300590
仁东控股,'002647
联建光电,'300269
五方光电,'002962
视觉中国,'000681
紫光学大,'000526
科蓝软件,'300663
国元证券,'000728
好想你,'002582
兴森科技,'002436
滨江集团,'002244
通达动力,'002576
宝莱特,'300246
西安饮食,'000721
荃银高科,'300087
海王生物,'000078
银江股份,'300020
高鸿股份,'000851
长高集团,'002452
金新农,'002548
奥士康,'002913
建艺集团,'002789
科力尔,'002892
视源股份,'002841
亚太科技,'002540
信邦制药,'002390
汉王科技,'002362
潮宏基,'002345
捷捷微电,'300623
银信科技,'300231
达威股份,'300535
名家汇,'300506
*ST联络,'002280
