股票名称,股票代码
正通汽车,'01728
指尖悦动,'06860
中地乳业,'01492
中国公共采购,'01094
康特隆,'01912
青岛控股,'00499
兴科蓉医药,'06833
恒嘉融资租赁,'00379
卓信国际控股,'08266
品创控股,'08066
国际娱乐,'01009
汇盈控股,'00821
安悦国际控股,'08245
瀚华金控,'03903
东正金融,'02718
勇利投资,'01145
TEAMWAY INTL GP,'02922
均安控股,'01559
周黑鸭,'01458
中国通海金融,'00952
中国数码信息,'00250
宝业集团,'02355
远大中国,'02789
MINDTELL TECH,'08611
衍汇亚洲,'08210
北大资源,'00618
大生农业金融,'01103
合景泰富集团,'01813
英记茶庄集团,'08241
修身堂,'08200
兴铭控股,'08425
通达宏泰,'02363
中国唐商,'00674
先丰服务集团,'00500
重庆机电,'02722
瑞威资管,'01835
远大医药,'00512
新晨动力,'01148
连达科技控股,'00889
信义能源,'03868
C-LINK SQ,'01463
环球大通集团,'08063
君百延集团,'08372
杉杉品牌,'01749
富临集团控股,'01443
茂宸集团,'00273
山东黄金,'01787
领智金融,'08163
北控医疗健康,'02389
中星集团控股,'00055
BOSSINI INT'L,'00592
龙源电力,'00916
祖龙娱乐,'09990
老恒和酿造,'02226
富一国际控股,'01470
永耀集团控股,'08022
凯富善集团控股,'08512
TS WONDERS,'01767
FL二华夏纳一百,'07261
联旺集团,'08217
中国白银集团,'00815
FL二南方纳指,'07266
金风科技,'02208
神州控股,'00861
HON CORP,'08259
国联证券,'01456
胜利管道,'01080
合生创展集团,'00754
钜京控股,'08450
广骏集团控股,'08516
力天影业,'09958
瑞诚中国传媒,'01640
中手游,'00302
HMVOD视频,'08103
博雅互动,'00434
童园国际,'03830
泰加保险,'06161
美亨实业,'01897
宝发控股,'08532
远东控股国际,'00036
浙江联合投资,'08366
威讯控股,'01087
中国水务,'00855
新东方在线,'01797
中国擎天软件,'01297
绿色动力环保,'01330
GOLDWAY EDU,'08160
盛良物流,'08292
ECI TECH,'08013
赢家时尚,'03709
万隆控股集团,'00030
JS环球生活,'01691
华和控股,'09938
鑫苑服务,'01895
上海复旦,'01385
中智全球,'06819
实德环球,'00487
蓝港互动,'08267
IGG,'00799
天立教育,'01773
紫金矿业,'02899
NOMAD TECH,'08645
大地教育,'08417
海航科技投资,'02086
新丝路文旅,'00472
靖洋集团,'08257
1957 & CO.,'08495
阜博集团,'03738
人瑞人才,'06919
新威工程集团,'08616
中电华大科技,'00085
永胜医疗,'01612
百威亚太,'01876
宝峰时尚,'01121
易和国际控股,'08659
TBKS HLDGS,'01960
云游控股,'00484
映客,'03700
金猫银猫,'01815
万顺集团控股,'01746
隆基泰和智慧能源,'01281
易纬集团,'03893
中国金石,'01380
东方支付集团控股,'08613
成实外教育,'01565
优创金融,'01160
中国国家文化产业,'00745
中国黄金国际,'02099
节能元件,'08231
新疆新鑫矿业,'03833
易易壹金融,'00221
兑吧,'01753
金山软件,'03888
瑞声科技,'02018
中誉集团,'00985
中国疏浚环保,'00871
海王英特龙,'08329
康利国际控股,'06890
登辉控股,'01692
和嘉控股,'00704
恒大健康,'00708
英恒科技,'01760
中国高速传动,'00658
霸王集团,'01338
正商实业,'00185
中集天达,'00445
大唐新能源,'01798
海升果汁,'00359
IDT INT'L,'00167
比优集团,'08053
博尼控股,'01906
兴合控股,'01891
建德国际控股,'00865
佳宁娜,'00126
麦迪森控股,'08057
中国玻璃,'03300
华信金融投资,'01520
佳明集团控股,'01271
树熊金融集团,'08226
宝联控股,'08201
正道集团,'01188
IMAX CHINA,'01970
REPUBLIC HC,'08357
MBV INTL,'01957
中国油气控股,'00702
飞扬集团,'01901
海纳智能,'01645
星亚控股,'08293
百奥家庭互动,'02100
泸州银行,'01983
中国环保能源,'00986
大成生化科技,'00809
华润医疗,'01515
盛业资本,'06069
安硕纳指一百,'02834
梧桐国际,'00613
华电国际电力股份,'01071
华邦金融,'03638
正业国际,'03363
旭辉控股集团,'00884
华润电力,'00836
大悦城地产,'00207
玖龙纸业,'02689
中车时代电气,'03898
祈福生活服务,'03686
东北电气,'00042
保利置业集团,'00119
FIT HON TENG,'06088
YGM TRADING,'00375
美亚娱乐资讯,'00391
稀美资源,'09936
星美文化旅游,'02366
奥威控股,'01370
汇银控股集团,'01178
波司登,'03998
绿城中国,'03900
天臣控股,'01201
新城悦服务,'01755
安硕纳指一百-U,'09834
中油洁能控股,'01759
培力控股,'01498
米兰站,'01150
高阳科技,'00818
万华媒体,'00426
安山金控,'00033
百济神州,'06160
歌礼制药-B,'01672
长江生命科技,'00775
招金矿业,'01818
中国有赞,'08083
旷世控股,'01925
亚太卫星,'01045
BMO纳指,'03086
海底捞,'06862
国银租赁,'01606
L'OCCITANE,'00973
粤丰环保,'01381
南岸集团,'00577
浙商银行,'02016
山水水泥,'00691
361度,'01361
WANG ON GROUP,'01222
建禹集团,'08196
迪信通,'06188
中国奥园,'03883
开拓药业-B,'09939
中国海外宏洋集团,'00081
康希诺生物-B,'06185
舜宇光学科技,'02382
华君国际集团,'00377
思摩尔国际,'06969
中科生物,'01237
广泽国际发展,'00989
千盛集团控股,'08475
潼关黄金,'00340
中国金融国际,'00721
申港控股,'08631
RITAMIX,'01936
美图公司,'01357
神州租车,'00699
复宏汉霖-B,'02696
华盛国际控股,'01323
惠生工程,'02236
上海电气,'02727
创业集团控股,'02221
星宏传媒,'01616
星星地产,'01560
芯成科技,'00365
华虹半导体,'01347
丘钛科技,'01478
新维国际控股,'08086
太阳城集团,'01383
嘉瑞国际,'00822
亿都(国际控股),'00259
滨江服务,'03316
广汽集团,'02238
比亚迪电子,'00285
春立医疗,'01858
优越集团控股,'01841
海通国际,'00665
新濠国际发展,'00200
新娱科控股,'06933
中国地热能,'08128
东方电气,'01072
伯明翰体育,'02309
中粮肉食,'01610
鲁大师,'03601
九尊数字互娱,'01961
安领国际,'01410
中教控股,'00839
浩柏国际,'08431
华润水泥控股,'01313
超威动力,'00951
南华集团控股,'00413
游莱互动,'02022
中国艺术金融,'01572
日兴环球联网-U,'09072
雅天妮集团,'00789
红星美凯龙,'01528
XL二华夏沪深三,'07272
珠海控股投资,'00908
维信金科,'02003
平安好医生,'01833
利亚零售,'00831
中国东方教育,'00667
贵联控股,'01008
先机企业集团,'00176
灵宝黄金,'03330
碧桂园服务,'06098
GX中国云算-U,'09826
原生态牧业,'01431
银建国际,'00171
银城国际控股,'01902
联想集团,'00992
威高股份,'01066
依利安达,'01151
世茂集团,'00813
高伟电子,'01415
睿见教育,'06068
太平洋航运,'02343
永利澳门,'01128
澳博控股,'00880
俊裕地基,'01757
启明医疗-B,'02500
泛海酒店,'00292
宇华教育,'06169
云顶香港,'00678
佳兆业集团,'01638
创新电子控股,'08346
应力控股,'02663
嘉涛(香港)控股,'02189
当代置业,'01107
香港交易所,'00388
庄士机构国际,'00367
中梁控股,'02772
禹洲集团,'01628
冠军科技集团,'00092
南方中创业板-R,'83147
天彩控股,'03882
信盛矿业,'02133
枫叶教育,'01317
NIRAKU,'01245
