股票名称,股票代码
周黑鸭,'01458
合景泰富集团,'01813
山东黄金,'01787
龙源电力,'00916
合生创展集团,'00754
绿色动力环保,'01330
JS环球生活,'01691
紫金矿业,'02899
百威亚太,'01876
金山软件,'03888
瑞声科技,'02018
华电国际电力股份,'01071
旭辉控股集团,'00884
华润电力,'00836
玖龙纸业,'02689
中车时代电气,'03898
保利置业集团,'00119
FIT HON TENG,'06088
波司登,'03998
绿城中国,'03900
海底捞,'06862
浙商银行,'02016
中国奥园,'03883
舜宇光学科技,'02382
美图公司,'01357
上海电气,'02727
华虹半导体,'01347
广汽集团,'02238
比亚迪电子,'00285
海通国际,'00665
新濠国际发展,'00200
东方电气,'01072
中教控股,'00839
华润水泥控股,'01313
红星美凯龙,'01528
平安好医生,'01833
中国东方教育,'00667
碧桂园服务,'06098
联想集团,'00992
威高股份,'01066
世茂集团,'00813
永利澳门,'01128
澳博控股,'00880
佳兆业集团,'01638
香港交易所,'00388
中梁控股,'02772
禹洲集团,'01628
大唐发电,'00991
中国海外发展,'00688
银河娱乐,'00027
碧桂园,'02007
统一企业中国,'00220
港华燃气,'01083
石药集团,'01093
正荣地产,'06158
国美零售,'00493
药明康德,'02359
瑞安房地产,'00272
宝龙地产,'01238
佳源国际控股,'02768
阅文集团,'00772
华润啤酒,'00291
秦港股份,'03369
中国联通,'00762
中国恒大,'03333
远洋集团,'03377
利福国际,'01212
北控水务集团,'00371
康师傅控股,'00322
恒隆集团,'00010
建滔积层板,'01888
腾讯控股,'00700
五矿资源,'01208
理文造纸,'02314
中国飞鹤,'06186
中信建投证券,'06066
中国电力,'02380
新城发展,'01030
复星国际,'00656
东方证券,'03958
中国移动,'00941
香格里拉(亚洲),'00069
华润置地,'01109
维达国际,'03331
中国联塑,'02128
中国再保险,'01508
富力地产,'02777
中国华融,'02799
上海实业控股,'00363
中国燃气,'00384
药明生物,'02269
九龙仓集团,'00004
中煤能源,'01898
长实集团,'01113
龙光集团,'03380
吉利汽车,'00175
信和置业,'00083
中国金茂,'00817
小米集团-W,'01810
新世界发展,'00017
美团点评-W,'03690
国泰君安国际,'01788
华能国际电力股份,'00902
中国交通建设,'01800
中芯国际,'00981
中国东方集团,'00581
中国电信,'00728
中国光大国际,'00257
金沙中国有限公司,'01928
金斯瑞生物科技,'01548
电能实业,'00006
东亚银行,'00023
中国铁建,'01186
天津创业环保股份,'01065
嘉里物流,'00636
海天国际,'01882
大家乐集团,'00341
中国中冶,'01618
江西铜业股份,'00358
海螺创业,'00586
康哲药业,'00867
周大福,'01929
洛阳玻璃股份,'01108
越秀地产,'00123
雅居乐集团,'03383
美的置业,'03990
中国信达,'01359
招商银行,'03968
融创中国,'01918
太古地产,'01972
龙湖集团,'00960
港铁公司,'00066
美高梅中国,'02282
重庆农村商业银行,'03618
中国外运,'00598
第一太平,'00142
中国神华,'01088
猫眼娱乐,'01896
中广核电力,'01816
中信银行,'00998
时代中国控股,'01233
新奥能源,'02688
融信中国,'03301
敏华控股,'01999
中国南方航空股份,'01055
中电控股,'00002
