股票名称,股票代码
正通汽车,'01728
周黑鸭,'01458
合景泰富集团,'01813
远大医药,'00512
信义能源,'03868
山东黄金,'01787
龙源电力,'00916
金风科技,'02208
神州控股,'00861
合生创展集团,'00754
中手游,'00302
中国水务,'00855
新东方在线,'01797
绿色动力环保,'01330
JS环球生活,'01691
IGG,'00799
紫金矿业,'02899
百威亚太,'01876
金山软件,'03888
瑞声科技,'02018
中国高速传动,'00658
IMAX CHINA,'01970
华润医疗,'01515
盛业资本,'06069
华电国际电力股份,'01071
旭辉控股集团,'00884
华润电力,'00836
玖龙纸业,'02689
中车时代电气,'03898
保利置业集团,'00119
FIT HON TENG,'06088
波司登,'03998
绿城中国,'03900
招金矿业,'01818
海底捞,'06862
粤丰环保,'01381
浙商银行,'02016
中国奥园,'03883
中国海外宏洋集团,'00081
舜宇光学科技,'02382
思摩尔国际,'06969
美图公司,'01357
上海电气,'02727
华虹半导体,'01347
丘钛科技,'01478
太阳城集团,'01383
广汽集团,'02238
比亚迪电子,'00285
海通国际,'00665
新濠国际发展,'00200
东方电气,'01072
中粮肉食,'01610
中教控股,'00839
华润水泥控股,'01313
红星美凯龙,'01528
平安好医生,'01833
中国东方教育,'00667
碧桂园服务,'06098
联想集团,'00992
威高股份,'01066
世茂集团,'00813
睿见教育,'06068
太平洋航运,'02343
永利澳门,'01128
澳博控股,'00880
宇华教育,'06169
佳兆业集团,'01638
香港交易所,'00388
中梁控股,'02772
禹洲集团,'01628
枫叶教育,'01317
申万宏源,'06806
大唐发电,'00991
中海物业,'02669
中国海外发展,'00688
银河娱乐,'00027
碧桂园,'02007
统一企业中国,'00220
民生教育,'01569
东阳光药,'01558
中国船舶租赁,'03877
港华燃气,'01083
石药集团,'01093
正荣地产,'06158
阜丰集团,'00546
国美零售,'00493
药明康德,'02359
香港中旅,'00308
国瑞置业,'02329
瑞安房地产,'00272
宝龙地产,'01238
佳源国际控股,'02768
华兴资本控股,'01911
协鑫新能源,'00451
阅文集团,'00772
华润啤酒,'00291
秦港股份,'03369
中国联通,'00762
中国恒大,'03333
远洋集团,'03377
利福国际,'01212
招商局置地,'00978
北控水务集团,'00371
康师傅控股,'00322
恒隆集团,'00010
建滔积层板,'01888
微盟集团,'02013
腾讯控股,'00700
五矿资源,'01208
理文造纸,'02314
中国飞鹤,'06186
中信建投证券,'06066
中国电力,'02380
新城发展,'01030
复星国际,'00656
东方证券,'03958
创梦天地,'01119
中国移动,'00941
华南城,'01668
香格里拉(亚洲),'00069
华润置地,'01109
西部水泥,'02233
维达国际,'03331
中国联塑,'02128
中集集团,'02039
中国再保险,'01508
富智康集团,'02038
上实城市开发,'00563
富力地产,'02777
中国华融,'02799
维亚生物,'01873
上海实业控股,'00363
中国燃气,'00384
药明生物,'02269
九龙仓集团,'00004
中煤能源,'01898
长实集团,'01113
呷哺呷哺,'00520
龙光集团,'03380
中国软件国际,'00354
中国动向,'03818
吉利汽车,'00175
伟能集团,'01608
信和置业,'00083
中国宏泰发展,'06166
中国金茂,'00817
小米集团-W,'01810
新世界发展,'00017
美团点评-W,'03690
雅生活服务,'03319
国泰君安国际,'01788
华能国际电力股份,'00902
山东新华制药股份,'00719
莎莎国际,'00178
中国交通建设,'01800
中芯国际,'00981
中国东方集团,'00581
中国电信,'00728
中国光大国际,'00257
金沙中国有限公司,'01928
金斯瑞生物科技,'01548
创维集团,'00751
电能实业,'00006
晨鸣纸业,'01812
东亚银行,'00023
中国铁建,'01186
天津创业环保股份,'01065
绿地香港,'00337
嘉里物流,'00636
海天国际,'01882
大家乐集团,'00341
中国中冶,'01618
江西铜业股份,'00358
海螺创业,'00586
比亚迪股份,'01211
金地商置,'00535
康哲药业,'00867
周大福,'01929
洛阳玻璃股份,'01108
越秀地产,'00123
雅居乐集团,'03383
美的置业,'03990
汇量科技,'01860
中国信达,'01359
招商银行,'03968
融创中国,'01918
太古地产,'01972
龙湖集团,'00960
港铁公司,'00066
TCL电子,'01070
美高梅中国,'02282
重庆农村商业银行,'03618
中国外运,'00598
第一太平,'00142
中国神华,'01088
猫眼娱乐,'01896
中广核电力,'01816
中信银行,'00998
时代中国控股,'01233
新奥能源,'02688
融信中国,'03301
力高集团,'01622
敏华控股,'01999
中骏集团控股,'01966
中国南方航空股份,'01055
中电控股,'00002
天能动力,'00819
安踏体育,'02020
建业地产,'00832
新鸿基地产,'00016
中国中铁,'00390
新华保险,'01336
心动公司,'02400
希慎兴业,'00014
光大证券,'06178
交通银行,'03328
中国人寿,'02628
中国太保,'02601
中兴通讯,'00763
特步国际,'01368
中升控股,'00881
越秀交通基建,'01052
中国人民保险集团,'01339
大众公用,'01635
联想控股,'03396
希望教育,'01765
路劲,'01098
申洲国际,'02313
弘阳地产,'01996
信德集团,'00242
恒基地产,'00012
新鸿基公司,'00086
广发证券,'01776
福莱特玻璃,'06865
三生制药,'01530
中国通号,'03969
中远海能,'01138
万洲国际,'00288
华泰证券,'06886
中信股份,'00267
深圳高速公路股份,'00548
华润燃气,'01193
江南布衣,'03306
太古股份公司A,'00019
中信证券,'06030
伟禄集团,'01196
嘉里建设,'00683
工商银行,'01398
北京控股,'00392
建设银行,'00939
中国科培,'01890
深圳国际,'00152
昆仑能源,'00135
中国太平,'00966
中裕燃气,'03633
海通证券,'06837
长江基建集团,'01038
周生生,'00116
中金公司,'03908
国药控股,'01099
滔搏,'06110
中国光大银行,'06818
高鑫零售,'06808
郑州银行,'06196
中烟香港,'06055
中国银行,'03988
