股票名称,股票代码
N江航,'688586
N盟升,'688311
铂力特,'688333
赛特新材,'688398
海尔生物,'688139
沪硅产业-U,'688126
华润微,'688396
燕麦科技,'688312
华峰测控,'688200
华特气体,'688268
中微公司,'688012
心脉医疗,'688016
南新制药,'688189
爱博医疗,'688050
安集科技,'688019
中芯国际-U,'688981
清溢光电,'688138
金山办公,'688111
道通科技,'688208
安恒信息,'688023
柏楚电子,'688188
八亿时空,'688181
方邦股份,'688020
天奈科技,'688116
财富趋势,'688318
奇安信-U,'688561
申联生物,'688098
优刻得-W,'688158
联瑞新材,'688300
天智航-U,'688277
光云科技,'688365
南微医学,'688029
金宏气体,'688106
聚辰股份,'688123
杰普特,'688025
芯源微,'688037
凌志软件,'688588
乐鑫科技,'688018
光峰科技,'688007
三达膜,'688101
寒武纪-U,'688256
瀚川智能,'688022
中国电研,'688128
有方科技,'688159
华兴源创,'688001
威胜信息,'688100
德马科技,'688360
皖仪科技,'688600
艾迪药业,'688488
广大特材,'688186
中国通号,'688009
瑞松科技,'688090
三友医疗,'688085
紫晶存储,'688086
国盛智科,'688558
福光股份,'688010
晶晨股份,'688099
普元信息,'688118
传音控股,'688036
山石网科,'688030
开普云,'688228
松井股份,'688157
天宜上佳,'688033
嘉必优,'688089
正帆科技,'688596
高测股份,'688556
泽达易盛,'688555
芯原股份,'688521
南亚新材,'688519
安必平,'688393
华光新材,'688379
亿华通,'688339
赛科希德,'688338
复洁环保,'688335
仕佳光子,'688313
敏芯股份,'688286
博睿数据,'688229
康希诺,'688185
先惠技术,'688155
凯赛生物,'688065
龙腾光电,'688055
交控科技,'688015
赛诺医疗,'688108
天准科技,'688003
华熙生物,'688363
东方生物,'688298
秦川物联,'688528
博汇科技,'688004
孚能科技,'688567
虹软科技,'688088
百奥泰-U,'688177
神工股份,'688233
容百科技,'688005
建龙微纳,'688357
杭可科技,'688006
致远互联,'688369
热景生物,'688068
卓易信息,'688258
博瑞医药,'688166
迪威尔,'688377
宝兰德,'688058
长阳科技,'688299
万德斯,'688178
联赢激光,'688518
卓越新能,'688196
映翰通,'688080
新光光电,'688011
安博通,'688168
德林海,'688069
龙软科技,'688078
当虹科技,'688039
江苏北人,'688218
恒誉环保,'688309
澜起科技,'688008
吉贝尔,'688566
石头科技,'688169
XD金科环,'688466
久日新材,'688199
京源环保,'688096
国盾量子,'688027
复旦张江,'688505
嘉元科技,'688388
埃夫特-U,'688165
云涌科技,'688060
神州细胞-U,'688520
奥特维,'688516
普门科技,'688389
XD天合光,'688599
特宝生物,'688278
沃尔德,'688028
祥生医疗,'688358
航天宏图,'688066
奥福环保,'688021
芯朋微,'688508
睿创微纳,'688002
兴图新科,'688081
金博股份,'688598
慧辰资讯,'688500
力合微,'688589
山大地纬,'688579
迈得医疗,'688310
中科星图,'688568
伟思医疗,'688580
成都先导,'688222
微芯生物,'688321
君实生物-U,'688180
昊海生科,'688366
西部超导,'688122
三生国健,'688336
鸿泉物联,'688288
洁特生物,'688026
硕世生物,'688399
佳华科技,'688051
佰仁医疗,'688198
泽璟制药-U,'688266
晶丰明源,'688368
大地熊,'688077
美迪西,'688202
震有科技,'688418
