股票名称,股票代码
FRENCH CONNECTION GROUP PLC ORD,'FCCN
THOR MINING PLC ORD 0.01P,'THR
EVE SLEEP PLC ORD 0.1P,'EVE
LEVERAGE SHARES PUBLIC LIMITED,'AAP2
PETS AT HOME GROUP PLC ORD 1P,'PETS
LEVERAGE SHARES PUBLIC LIMITED,'AAPE
LEVERAGE SHARES PUBLIC LIMITED,'2AAP
LEVERAGE SHARES PUBLIC LIMITED,'FB2
TIZIANA LIFE SCIENCES PLC ORD 3,'TILS
TATA GLOBAL BEVERAGES LD GDS (E,'TGBL
WISDOMTREE MULTI ASSET ISSUER P,'3SIL
WISDOMTREE MULTI ASSET ISSUER P,'3LSI
LEVERAGE SHARES PUBLIC LIMITED,'FB2E
LEVERAGE SHARES PUBLIC LIMITED,'AMZ2
LEVERAGE SHARES PUBLIC LIMITED,'2FB
LEVERAGE SHARES PUBLIC LIMITED,'2AMZ
LEVERAGE SHARES PUBLIC LIMITED,'AMZE
PJSC CENTER FOR CARGO CONTAINER,'TRCN
WISDOMTREE COMMODITY SECURITIES,'LSIL
BEGBIES TRAYNOR GROUP PLC ORD 5,'BEG
WISDOMTREE COMMODITY SECURITIES,'3SUL
SCHRODER REAL ESTATE INVESTMENT,'SREI
WISDOMTREE MULTI ASSET ISSUER P,'QQQ3
思博伦通信,'SPT
NAHL GROUP PLC ORD GBP0.0025,'NAH
TRANS-SIBERIAN GOLD PLC ORD 10P,'TSG
WISDOMTREE MULTI ASSET ISSUER P,'LQQ3
7DIGITAL GROUP PLC ORD 0.01P,'7DIG
EQUINITI GROUP PLC ORD 0.1P,'EQN
DIGNITY PLC ORD 12 48/143P,'DTY
WISDOMTREE COMMODITY SECURITIES,'LPLA
WESTMOUNT ENERGY LIMITED ORD NP,'WTE
BMO COMMERCIAL PROPERTY TRUST L,'BCPT
HUMMINGBIRD RESOURCES PLC ORD 1,'HUM
BMO REAL ESTATE INVESTMENTS LIM,'BREI
XEROS TECHNOLOGY GROUP PLC ORD,'XSG
VICTORIA OIL & GAS PLC ORD 0.5P,'VOG
STANDARD LIFE INVESTMENTS PROPE,'SLI
STRIX GROUP PLC ORD 1P,'KETL
PICTON PROPERTY INCOME LD ORD N,'PCTN
BANK OF GEORGIA GROUP PLC ORD 1,'BGEO
HIBERNIA REIT P.L.C. ORD EUR0.1,'HBRN
WISDOMTREE MULTI ASSET ISSUER P,'3BAL
REVOLUTION BARS GROUP PLC ORD 0,'RBG
OXFORD BIODYNAMICS PLC ORD GBP0,'OBD
CALISEN PLC ORD GBP0.01,'CLSN
ARROW GLOBAL GROUP PLC ORD 1P,'ARW
ONCIMMUNE HOLDINGS PLC ORD 1P,'ONC
LEVERAGE SHARES PUBLIC LIMITED,'2NVD
SHANTA GOLD LIMITED ORD 0.01P,'SHG
4D制药,'DDDD
MCKAY SECURITIES PLC ORD 20P,'MCKS
BAILLIE GIFFORD US GROWTH TRUST,'USA
WISDOMTREE COMMODITY SECURITIES,'SLVR
NEWRIVER REIT PLC ORD 1P,'NRR
CERES POWER HOLDINGS PLC ORD 10,'CWR
BEST OF THE BEST PLC ORD 5P,'BOTB
亨廷,'HTG
赛尔,'XAR
HELICAL PLC ORD 1P,'HLCL
WISDOMTREE COMMODITY SECURITIES,'LBUL
TBC BANK GROUP PLC ORD GBP0.01,'TBCG
GLOBAL PORTS HOLDING PLC ORD GB,'GPH
泛非资源,'PAF
蓝桉树饮料,'FEVR
BAKKAVOR GROUP PLC ORD 2P,'BAKK
SKINBIOTHERAPEUTICS PLC ORD 1P,'SBTX
SCS GROUP PLC ORD 0.1P,'SCS
DB ETC PLC XTRACKERS PHYSICAL S,'XSIL
DRAX GROUP PLC ORD 11 16/29P,'DRX
ARGENTEX GROUP PLC ORD GBP0.000,'AGFX
思卡帕集团,'SCPA
WISDOMTREE FOREIGN EXCHANGE LIM,'PUS5
WISDOMTREE METAL SECURITIES WIS,'PHAG
WARPAINT LONDON PLC ORD 25P,'W7L
豪利士集团,'VLX
HYVE GROUP PLC ORD 10P,'HYVE
PREMIER OIL PLC ORD 12.5P,'PMO
LEVERAGE SHARES PUBLIC LIMITED,'NVDE
SABRE INSURANCE GROUP PLC ORD G,'SBRE
KODAL MINERALS PLC ORD 0.03125P,'KOD
SOLGOLD PLC ORD 1P,'SOLG
TRITAX EUROBOX PLC ORD EUR0.01,'EBOX
WISDOMTREE COMMODITY SECURITIES,'3CFL
CHESNARA PLC ORD 5P,'CSN
