股票名称,股票代码
*ST金洲,'000587
*ST兆新,'002256
*ST飞马,'002210
ST海马,'000572
*ST刚泰,'600687
ST岩石,'600696
*ST华塑,'000509
ST仰帆,'600421
*ST融捷,'002192
*ST节能,'000820
*ST天娱,'002354
ST椰岛,'600238
*ST大洲,'000571
*ST雅博,'002323
ST厦华,'600870
ST生物,'000504
*ST中华B,'200017
*ST中华A,'000017
*ST金宇,'000803
*ST金鸿,'000669
*ST湘电,'600416
*ST华映,'000536
*ST京城,'600860
*ST东电,'000585
ST金花,'600080
ST抚钢,'600399
*ST信通,'600289
*ST富控,'600634
*ST群兴,'002575
*ST胜尔,'000890
*ST西发,'000752
*ST荣华,'600311
*ST中珠,'600568
*ST聚力,'002247
*ST升达,'002259
*ST安通,'600179
*ST松江,'600225
ST毅昌,'002420
*ST宝实,'000595
*ST安信,'600816
*ST目药,'600671
*ST舜喆B,'200168
ST亚星,'600319
*ST联络,'002280
ST瑞德,'600666
ST坊展,'600149
ST长投,'600119
ST中孚,'600595
ST步森,'002569
*ST九有,'600462
ST游久,'600652
ST云维,'600725
*ST晨鑫,'002447
ST中科创,'002290
ST中基,'000972
*ST雪莱,'002076
*ST联合,'600358
*ST博信,'600083
ST金泰,'600385
ST南化,'600301
*ST时万,'600241
*ST索菱,'002766
*ST海源,'002529
*ST夏利,'000927
*ST飞乐,'600651
*ST藏格,'000408
*ST敦种,'600354
ST创兴,'600193
ST昌九,'600228
ST南糖,'000911
ST宏盛,'600817
*ST海创B,'900955
*ST鹏起B,'900907
*ST毅达B,'900906
ST华鼎,'601113
*ST秋林,'600891
*ST工新,'600701
*ST航通,'600677
*ST鹏起,'600614
*ST毅达,'600610
*ST海创,'600555
ST康美,'600518
*ST信威,'600485
ST柳化,'600423
ST安泰,'600408
*ST中商,'600280
ST昌鱼,'600275
ST浩源,'002700
ST远程,'002692
*ST奋达,'002681
ST摩登,'002656
*ST勤上,'002638
*ST辉丰,'002496
*ST中南,'002445
*ST尤夫,'002427
*ST康盛,'002418
*ST赫美,'002356
ST罗普,'002333
ST巴士,'002188
*ST科陆,'002121
*ST天润,'002113
ST冠福,'002102
*ST银河,'000806
*ST平能,'000780
*ST永林,'000663
ST宜化,'000422
ST威龙,'603779
*ST熊猫,'600599
*ST秦机,'000837
ST沪科,'600608
*ST劝业,'600821
ST地矿,'000409
ST南风,'000737
*ST大晟,'600892
*ST六化,'600470
ST明科,'600091
ST电能,'600877
*ST鼎龙,'002502
ST人乐,'002336
ST双环,'000707
ST中葡,'600084
*ST厦工,'600815
*ST中新,'603996
ST景谷,'600265
*ST亚振,'603389
*ST蓝丰,'002513
*ST围海,'002586
ST天圣,'002872
ST罗顿,'600209
*ST天马,'002122
*ST经开,'600215
*ST科林,'002499
*ST金正,'002470
*ST交昂,'600530
*ST金贵,'002716
*ST利源,'002501
ST天雁B,'900946
*ST东网,'002175
ST慧业,'000816
*ST 中绒,'000982
*ST高升,'000971
*ST华仪,'600290
ST国重装,'601399
*ST友谊,'000679
*ST众泰,'000980
ST山水,'600234
*ST辅仁,'600781
*ST德豪,'002005
*ST梦舟,'600255
ST庞大,'601258
ST天首,'000611
ST亚邦,'603188
ST宇顺,'002289
ST云投,'002200
*ST大港,'002077
ST科迪,'002770
ST云网,'002306
*ST海华,'600243
*ST贵人,'603555
*ST成城,'600247
*ST拉夏,'603157
*ST新光,'002147
*ST江泉,'600212
*ST沈机,'000410
*ST东科,'000727
ST凯瑞,'002072
*ST仁智,'002629
*ST中天,'600856
ST狮头,'600539
*ST胜利,'002426
ST中捷,'002021
ST百花,'600721
*ST实达,'600734
ST八菱,'002592
*ST美讯,'600898
ST加加,'002650
ST运盛,'600767
*ST济堂,'600090
*ST界龙,'600836
*ST麦趣,'002719
*ST商城,'600306
ST天成,'600112
*ST新海,'002089
ST中安,'600654
*ST海陆,'002255
*ST长动,'000835
*ST金钰,'600086
*ST林重,'002535
*ST天夏,'000662
ST天雁,'600698
*ST同洲,'002052
*ST江特,'002176
*ST宏图,'600122
*ST当代,'000673
*ST河化,'000953
*ST恒康,'002219
*ST宜生,'600978
*ST中昌,'600242
*ST环球,'600146
*ST长城,'002071
*ST华讯,'000687
*ST银亿,'000981
*ST瀚叶,'600226
*ST新亿,'600145
*ST猛狮,'002684
*ST乐通,'002319
*ST东洋,'002086
ST圣莱,'002473
ST安凯,'000868
